,Player,Nation,Squad,Age,Born,X90s,Tackles.Tkl,Tackles.TklW,Tackles.Def.3rd,Tackles.Mid.3rd,Tackles.Att.3rd,Vs.Dribbles.Tkl,Vs.Dribbles.Att,Vs.Dribbles.Tkl.,Vs.Dribbles.Past,Pressures.Press,Pressures.Succ,Pressures..,Pressures.Def.3rd,Pressures.Mid.3rd,Pressures.Att.3rd,Blocks.Blocks,Blocks.Sh,Blocks.ShSv,Blocks.Pass,Int,Tkl.Int,Clr,Err,League,Year,mv
446,s.vidal,Dosqaly,Glistening Paladins,31,1989,18.66,2.84,1.97,1.88,1.07,0.17,0.72,1.98,1,1.37,22.81,6.04,1,11.67,9.01,2.14,1.8,0.45,0.05,1.39,1.74,4.8,1.4,0,B,2021,191993410.2
62,r.lambert,Ngoque Blicri,Great Galactic Gorgons,23,1997,14.16,1.36,0.79,0.42,0.69,0.28,0.33,1.97,1,1.56,29.33,5.33,1,2.41,13.21,13.63,1.59,0,0,1.47,0.12,1.47,0.27,0,A,2021,191980373.3
2268,a.hudak,Nganion,Orange Giants,29,1990,16.99,0.8,0.65,0.37,0.35,0,0.45,0.69,1,0.29,6.21,2.65,1,3,3.08,0.19,0.8,0.27,0,0.49,0.9,1.74,6.24,0.14,E,2021,190925765.5
2556,p.kralj,Nganion,Ultimate Penguins,27,1993,15.68,0.03,0,0.09,0.06,0,0.02,0.34,0,0.46,14.56,3.32,1,1.09,6.94,6.57,0.79,0.17,0,0.58,0.31,0.31,0.87,0.05,E,2021,190033634.4
23,e.taylor,People's Land of Maneau,Fanatical Outlaws,27,1992,15.82,0.92,0.62,0.26,0.42,0.29,0.23,0.93,1,0.73,21.21,4.5,1,3.03,11.77,6.32,0.47,0.12,0,0.34,0.47,1.32,0.14,0.08,A,2021,189754360.1
1386,c.mugabirwe,Esia,Ultimate Longhorns,26,1993,15.53,1.79,1.25,0.67,0.92,0.35,0.62,2.36,1,1.96,21.73,5.94,1,4.86,10.52,6.6,1.41,0.07,0,1.37,1.18,2.83,0.18,0,C,2021,188945481.8
449,g.munsaka,Dosqaly,Glistening Paladins,31,1988,17.38,1.57,0.99,0.55,0.62,0.44,0.53,1.63,1,1.13,17.57,4.46,1,3.35,7.64,6.62,1.23,0.02,0,1.03,0.62,2.04,1.37,0,B,2021,188713508.5
1167,x.mkandawire,Esia,Punctual Archers,20,1999,14.2,2.28,1.47,0.99,1.05,0.18,0.84,1.48,1,0.67,12.62,4.49,1,5.89,5.99,0.66,1.55,0.34,0,1.02,2.58,4.98,4.55,0,C,2021,188539357.7
2213,c.benhamou,Nganion,Mad Bees,25,1995,15.82,1.51,0.86,0.87,0.41,0.04,0.56,1.35,1,0.72,11.95,3.78,1,6.41,4,1.42,2.02,1.04,0.04,1.01,2.4,3.98,5.47,0.13,E,2021,186859153.1
2211,y.okori,Nganion,Mad Bees,31,1988,18.03,1.23,0.7,0.91,0.27,0.03,0.35,1.17,1,0.71,7.94,2.4,1,4.98,2.69,0.43,1.92,0.66,0.07,1.26,2.2,3.44,6.72,0.02,E,2021,186744829.1
1722,w.tushabomwe,Zacia Lygia,Marvelous Patriots,28,1992,16.39,2.57,1.72,0.91,1.24,0.35,0.62,2.09,1,1.37,19.76,5.73,1,5.56,10.14,4,2.18,0.58,0.09,1.59,0.87,3.4,2.26,0.12,D,2021,186388779.4
2594,f.chin,Rarita,Black Coyotes,22,1997,14.79,2.62,1.54,1.39,1.13,0,0.9,2.14,1,1.29,20.08,6.12,1,8.08,10.07,1.77,1.24,0.22,0,1.2,1.42,3.98,1.11,0.01,RFL,2021,186187585.9
2597,p.villa,Rarita,Black Coyotes,20,1999,13.51,1.61,1.57,0.73,0.7,0.15,0.46,1.25,1,0.73,19.96,5.61,1,3.91,9.36,6.86,0.81,0.11,0,0.87,0.42,2.03,0.25,0.09,RFL,2021,185554063.8
1365,f.mutandwa,Esia,Ultimate Longhorns,28,1992,16.31,1.31,1,0.51,0.64,0.08,0.53,1.67,1,1.31,13.78,4.92,1,4.55,5.45,3.77,1.88,0.41,0,1.62,1.45,2.77,1.43,0,C,2021,184848853.3
2050,b.kaonga,Central Namemo Laand,Deferred Dolphins,22,1997,14.72,1.94,1.43,0.67,1.02,0.21,0.62,1.39,1,0.69,21.55,5.13,1,7.17,11.48,2.88,1.39,0.2,0.06,1.11,0.96,2.88,1.71,0,E,2021,184622812.2
1773,d.kemigisa,Greri Landmoslands,Mighty Monkeys,31,1989,17.79,2.79,1.56,1.35,1.19,0.02,0.83,2.55,1,1.79,27.95,7.93,1,9.39,14.38,4.37,2.23,0.08,0,2.09,1.92,4.7,0.82,0,D,2021,184104428.3
758,s.lamptey,Manlisgamncent,Somber Stallions,20,1999,13.92,2.45,1.14,0.97,0.78,0.53,0.75,1.87,1,1.11,9.39,2.79,1,3.47,4.22,1.68,2.28,0.31,0.06,1.9,1.45,3.75,2.6,0.04,B,2021,183966350.1
1394,a.alghamdi,Ledian,Weak Chargers,33,1986,18.72,1.51,0.51,0.92,0.23,0.19,1.07,2.01,1,0.97,11.11,3.34,1,5.44,3.96,1.65,1.9,0.42,0,1.55,1.12,2.54,2.16,0,C,2021,183960653
1474,s.musoki,Central Diasongo,Coy Catamarans,27,1992,16.81,2.68,1.32,1.98,0.49,0.2,0.36,1.23,1,0.77,16.4,4.56,1,9.46,5.59,1.2,2.94,1.36,0.14,1.65,1.61,4.46,5.06,0,D,2021,183609964.6
1068,e.pour,Lefghau,Horrible Flames,27,1993,16.14,3.34,1.84,1.72,1.01,0.53,0.95,2.66,1,1.74,14.84,5.5,1,6.31,6.22,2.38,2.19,0.23,0.01,2.07,2.51,5.78,3.27,0,C,2021,183490576.5
108,y.eyotaru,Mico,Horrible Grizzlies,24,1996,15.18,1.39,0.77,0.99,0.21,0.23,0.36,0.74,1,0.43,6.88,2.47,1,3.74,2.55,0.6,1.8,0.98,0.1,0.65,1.78,3.11,5.32,0,A,2021,182941310.8
2036,o.oketcho,Nganion,Deferred Dolphins,23,1997,15.06,1.19,0.61,0.68,0.48,0.07,0.32,1.44,1,1.03,9.81,2.71,1,5.28,4.26,0.44,2.3,0.89,0.01,1.44,0.65,1.77,5.74,0.06,E,2021,182097446.5
1224,j.kondowe,Southern Ristan,Serious Cyclones,28,1991,16.44,2.29,1.57,1.24,0.42,0.42,0.94,1.81,1,0.75,10.42,3.85,1,4.61,3.63,2.07,1.6,0.49,0,1.17,0.93,3.27,2.17,0.09,C,2021,182018793.9
428,z.ahmetovi,Lefghau,Flawless Cows,28,1992,15.76,0.85,0.58,0.15,0.28,0.51,0.34,2.12,1,1.83,13.34,4.2,1,1.45,4.99,6.95,0.74,0.02,0,0.59,0.4,1.24,0,0,B,2021,181513101.8
1481,l.kyambadde,Sobianitedrucy,Coy Catamarans,30,1990,17.58,1.56,1.01,1.09,0.66,0.01,0.72,1.2,1,0.57,10.96,3.57,1,6.57,3.92,0.41,1.73,0.53,0.06,1.28,0.89,2.48,4.05,0.06,D,2021,181360956.5
1464,x.lopez,Esia,Wicked Gentlefolk,20,2000,13.21,1.81,0.96,0.51,0.91,0.46,0.28,1.26,1,0.97,17.31,5.24,1,2.94,6.47,8.22,0.86,0.16,0,0.7,0.18,1.97,0.21,0,C,2021,178839762.8
207,q.johnsen,People's Land of Maneau,Old Mustangs,19,2001,13.13,1.64,1.32,0.7,0.69,0.3,0.81,1.8,1,0.96,17.95,5.3,1,3.83,8.44,5.51,1.29,0,0.08,1.29,1.31,2.87,0.8,0.06,A,2021,178200249.6
50,i.ocen,People's Land of Maneau,Fighting Cougars,32,1988,17.78,1.85,1.5,0.94,0.75,0.19,0.65,2.73,1,2.1,19.22,6.45,1,6.36,8.55,4.22,1.39,0.07,0,1.34,0.85,2.76,0.74,0.09,A,2021,177733444.4
1623,n.cheng,Sobianitedrucy,Flying Bombadiers,19,2000,13.32,1.48,0.81,0.68,0.44,0.28,0.31,1.4,1,1.12,19.35,4.46,1,4.38,9.78,5.19,0.56,0.06,0,0.56,0.85,2.35,0.77,0,D,2021,177328909.2
219,t.kafuko,Southslands,Punctual Rustlers,31,1988,17.9,2.12,1.51,1.34,0.45,0.29,1.01,2.27,1,1.32,13.41,4.13,1,7.43,4.1,2.04,2.14,0.46,0,1.59,1.18,3.36,2.18,0.01,A,2021,177311390.3
2742,a.kyarikunda,Rarita,Strong Oaks,30,1990,16.87,0.8,0.39,0.34,0.11,0.37,0.16,1.19,1,0.9,11.81,2.75,1,2.63,5.19,4.08,1.07,0,0,1.06,0.69,1.5,0.23,0.02,RFL,2021,176971025.5
770,x.durand,Greri Landmoslands,Somber Stallions,22,1997,14.03,1.27,0.83,0.37,0.92,0.3,0.34,2.12,1,1.6,16.65,4.7,1,3.85,8.64,3.95,1.18,0.21,0.07,1.17,1.3,2.52,0.74,0.01,B,2021,176604573.9
2756,g.jankowski,Rarita,Strong Oaks,21,1999,13.74,2.32,1.49,0.7,1.18,0.54,0.32,1.9,1,1.48,19.4,5.24,1,4.32,10.93,4.02,1.36,0.19,0.09,1.18,1.07,3.33,1.67,0.09,RFL,2021,176525949.9
2705,k.musah,Rarita,Serious Buffaloes,30,1990,17.43,2.39,1.53,1.46,0.67,0.17,0.85,2.29,1,1.44,11.48,3.29,1,6.29,3.92,1.13,2.14,0.22,0,1.9,1.22,3.53,2.05,0.07,RFL,2021,176430063.3
336,h.cardoso,Dosqaly,Stacked Rocks,30,1989,17.52,1.41,1.04,1.26,0.08,0,0.38,1.21,1,0.76,13.63,4.16,1,7.7,4.77,1.35,1.55,0.28,0,1.16,1,2.29,1.88,0.02,A,2021,176184967.7
1682,c.abramov,Western Niasland,Marvelous Heels,29,1991,15.95,1.33,0.69,0.32,0.23,0.61,0.29,1.48,1,1.22,17.44,4.59,1,1.74,6.94,8.68,1.03,0,0.02,1.06,0.39,1.65,0.39,0.06,D,2021,176076771.3
1496,u.ocan,Rosvi,Coy Catamarans,23,1996,14.59,1.66,0.72,0.81,0.17,0.55,0.43,1.17,1,0.54,12.23,3.07,1,4.1,5.2,3.08,0.95,0.09,0,0.92,0.55,2.24,0.75,0.09,D,2021,175649173.8
258,e.mutebi,Nancipenuaroe,Silver Heels,27,1992,15.96,2.3,1.18,1.12,0.86,0.48,0.46,1.52,1,1.08,15.53,4.29,1,5.5,7.21,2.9,2.23,0.44,0,1.76,1.39,3.64,0.87,0,A,2021,175142595.9
964,b.ndlovu,Dosqaly,Wet Monarchs,21,1999,13.73,1.29,0.58,0.49,0.46,0.23,0.43,1.51,1,1.24,18.04,5.36,1,4.88,7.92,5.25,1.27,0.03,0,1.32,0.48,1.68,0.64,0.15,B,2021,174553578.7
333,c.guerrero,Lefghau,Stacked Rocks,27,1992,15.72,2.1,1.31,0.72,1.3,0.29,0.51,1.86,1,1.36,17.02,4.19,1,4.31,8.25,4.48,1.24,0.09,0.03,1.06,1.29,3.46,0.72,0,A,2021,174161290.9
282,o.nabirye,Coastpa Barleslands,Solemn Cougars,28,1992,16.28,2.23,1.41,1.18,0.79,0.15,0.46,1,1,0.66,16.54,5.27,1,6.51,7.56,2.35,1.52,0.14,0,1.31,0.55,2.82,0.7,0.03,A,2021,172193688.7
2564,y.draru,Rarita,Ultimate Penguins,37,1983,19.92,0.03,0,0,0.04,0,0,0.2,0.09,0.01,0.14,0.03,0.03,0.09,0,0.1,0.05,0.03,0,0.1,0,0,0.09,0,E,2021,171939737.4
2608,i.yldrm,Galamily,Educated Avengers,28,1992,15.17,0.68,0.46,0.2,0.14,0.28,0.15,0.54,1,0.53,18.47,5.15,1,0.72,6.88,11,0.92,0.15,0,1,0.38,0.96,0.45,0,RFL,2021,171858204
1737,g.mwima,Sobianitedrucy,Mean Wolves,30,1989,16.4,0.62,0.49,0.21,0.26,0.1,0.12,0.69,1,0.42,13.78,2.84,1,1.17,6.48,6.13,0.67,0.28,0,0.39,0.33,0.97,1.26,0.01,D,2021,170026433.9
567,j.driwaru,Dosqaly,Mean Poets,22,1998,14.4,2.61,1.02,1.6,0.71,0.38,1.06,2.11,1,1.12,14.27,3.9,1,6.48,5.67,2.16,2.15,0.2,0.06,1.81,0.48,3.13,2.64,0,B,2021,169021332.8
426,z.musenero,Greri Landmoslands,Flawless Cows,28,1991,15.91,1.46,0.66,0.38,0.96,0.21,0.43,1.3,1,0.77,11.14,3.58,1,3.12,6.47,1.66,1.11,0.39,0,0.74,1.85,3.37,2.68,0.05,B,2021,168804986.9
1307,a.akoth,Unicorporated Tiagascar,Supreme Jaguars,27,1993,15.85,1.61,0.98,0.82,0.64,0.06,0.87,1.57,1,0.9,11.66,3.22,1,4.89,5.22,1.75,1.11,0.31,0,1,2.37,3.73,1.28,0,C,2021,167980298
874,i.namutosi,Dosqaly,Unethical Comets,18,2001,13,1.65,1.38,0.49,0.97,0.16,0.68,2.42,1,1.75,14.36,3.97,1,4.61,7.4,2.2,1.01,0.27,0.08,0.73,1.41,2.94,1.6,0.05,B,2021,167718697
314,t.achan,Southslands,Somber Bombers,28,1992,15.87,0.42,0.26,0.27,0.22,0.09,0.05,0.97,1,0.75,10.94,3.1,1,2.68,6.64,1.87,1.46,0.53,0.09,1.01,0.83,1.22,1.85,0.07,A,2021,167542198.4
717,w.mugisha,Dosqaly,Simple Privateers,28,1991,15.89,2.49,1.84,0.91,1.36,0.16,0.9,3.23,1,2.35,23.12,6.67,1,6.44,13.21,3.5,1.41,0.18,0.04,1.04,1.41,3.9,0.88,0.16,B,2021,166341372.5
719,b.nakabugo,Sina Daofra,Simple Privateers,32,1987,17.86,2.14,1.64,1.11,0.92,0.12,0.66,2.4,1,1.82,17.25,5.27,1,7.26,9.15,0.87,1.28,0.48,0,0.93,1.56,3.86,2.91,0.07,B,2021,165976956.3
649,h.nsungwa,Dosqaly,Serious Thunderbirds,21,1999,13.75,2.12,1.35,1.24,0.57,0.2,0.82,3.16,1,2.35,17.13,5.09,1,6.02,8.91,2.34,1.69,0,0,1.68,1.63,3.72,0.9,0,B,2021,164595278
423,p.susanto,Lefghau,Flawless Cows,27,1993,15.13,3.4,2.48,1.04,1.89,0.43,1.33,3.11,1,1.75,23.52,7.35,1,5.39,11.55,6.81,1.7,0.23,0.06,1.49,0.91,4.43,0.3,0.01,B,2021,164253907.7
1383,h.marroquin,Giumle Lizeibon,Ultimate Longhorns,31,1989,17.48,2.57,1.55,1.46,1.03,0.11,0.85,2.24,1,1.38,16.99,5.02,1,7.65,8.13,1.26,2.54,0.8,0,1.8,1.33,3.98,3.46,0.14,C,2021,164048075.7
66,w.swee,People's Land of Maneau,Great Galactic Gorgons,20,2000,12.56,1.22,0.67,0.13,0.51,0.39,0.02,0.93,0,1.04,19.06,4.87,1,1.08,9.42,8.61,1.26,0.16,0,1.1,0.55,1.68,0.18,0,A,2021,163759745.3
1688,z.ngambi,Saintu,Marvelous Heels,32,1988,16.97,0.54,0.18,0.07,0.21,0.28,0.14,1.04,1,0.95,11.36,3.09,1,0.9,4.4,6.08,0.79,0,0.01,0.82,0.33,0.85,0.03,0.05,D,2021,163676484.3
919,z.akoth,Dosqaly,Weak Blimps,21,1999,13.83,2.43,1.88,1.5,0.71,0.31,0.99,1.45,1,0.57,9.07,3.53,1,5.06,3.23,0.78,2.28,0.44,0,1.8,1.58,4.15,3.46,0.14,B,2021,163594795.2
618,d.kakande,Dosqaly,Overconfident Kangaroos,27,1993,15.25,2.91,1.92,1.22,1.48,0.24,0.7,2.53,1,1.71,18.4,6.26,1,5.28,8.19,4.72,0.95,0.21,0.02,0.76,1.57,4.62,0.43,0.01,B,2021,161945107.2
1832,f.pellegrini,Nganion,Remarkable Flames,33,1987,17.6,1.63,1.18,0.54,0.75,0.31,0.48,1.81,1,1.42,15.18,3.39,1,2.8,7.14,5.28,0.74,0.02,0.07,0.69,0.64,2.22,0.13,0,D,2021,160898769.9
1271,e.byekwaso,Nganion,Spicy Gophers,23,1997,14.37,1.38,0.93,0.94,0.31,0.19,0.17,0.74,1,0.54,8.28,3.05,1,4.88,2.43,1.05,1.12,0.87,0.06,0.32,1.62,3.07,5.81,0,C,2021,160752187
1389,s.sabano,Danan Seekeeling,Weak Chargers,23,1996,14.44,1.37,0.9,1.06,0.32,0,0.33,1.04,1,0.81,9.54,3.57,1,5.75,3.24,0.34,1.6,0.69,0,0.81,1,2.47,6.92,0.11,C,2021,160409426.8
2729,e.vasav,Moaithe,Strong Oaks,23,1996,14.32,1.36,0.81,0.73,0.5,0.06,0.53,1.26,1,0.62,9.34,3.2,1,4.78,4.26,0.22,0.75,0.41,0,0.42,1.63,3,6.35,0.23,RFL,2021,159745909.4
942,b.waon,Badad,Wet Monarchs,24,1996,14.65,1.53,0.91,0.75,0.59,0.14,0.58,1.53,1,1.05,9.5,2.65,1,4.61,3.36,1.41,1.86,0.42,0,1.41,1.52,2.94,2.86,0.07,B,2021,159630449
2647,z.nakagawa,People's Land of Maneau,Mad Wolverines,22,1997,13.63,1.53,0.97,0.61,0.38,0.27,0.43,2.06,1,1.71,23.82,7.66,1,7.21,10.81,5.6,1.37,0.17,0.05,1.23,1.75,3.3,1.88,0.05,RFL,2021,158946650.1
1305,i.ssentongo,Varijitri Isles,Supreme Jaguars,20,2000,13.84,1.54,0.77,1.13,0.36,0.05,0.48,1.12,1,0.7,10.81,3.37,1,7.58,2.96,0.38,2.09,1.02,0,1.23,1.13,2.56,5.59,0.06,C,2021,158150121.4
2641,g.muhairwe,Lowwlaands,Mad Wolverines,28,1991,16.49,1.83,1.21,1.26,0.58,0.11,0.71,2.11,1,1.57,20.18,4.95,1,9.92,8.7,1.41,1.01,0.08,0.03,1.02,1.33,3.3,0.96,0.06,RFL,2021,157842486.1
2277,t.sommer,Nganion,Orange Giants,30,1990,15.54,1.43,0.91,0.39,0.48,0.58,0.36,1.27,1,0.89,20.19,6.61,1,1.63,9.68,8.78,0.94,0,0.07,1,0.64,2.1,0.49,0.05,E,2021,157708662.4
1969,m.sinh,Loco Phirema,Wet Flames,25,1995,15.15,1.8,0.93,1.51,0.22,0.01,0.67,1.48,1,0.76,13.18,2.79,1,6.34,4.59,2.24,2.02,0.22,0.03,1.89,1.19,2.87,2.4,0.09,D,2021,157657303.6
1206,t.ayoo,Esia,Red Artichokes,22,1998,14.1,3.17,1.85,1.47,1.48,0.14,0.94,3.02,1,2,21.82,5.23,1,7.89,11.55,2.25,2.33,0.11,0.1,2.18,0.98,4.11,2.22,0.05,C,2021,157018778
2164,v.sserugo,Nganion,Hideous Spiders,25,1995,14.25,1.53,0.69,0.38,0.82,0.37,0.22,0.83,1,0.44,16.52,4.05,1,2.47,8.06,6.13,0.86,0.06,0.06,0.87,1.09,2.45,0.18,0,E,2021,156962788.5
2771,r.taketa,Rarita,Wild Hornets,23,1997,14.63,1.86,1.39,1.47,0.24,0.28,0.72,1.3,1,0.72,10,3.03,1,7.18,2.53,0.39,1.45,0.63,0,0.77,1.2,3.08,4.03,0.03,RFL,2021,156589171.7
918,q.binabdrahman,Dosqaly,Weak Blimps,20,2000,13.46,1.79,1.21,1.13,0.45,0.16,0.62,1.39,1,0.63,9.26,3.79,1,6,2.91,0.66,1.61,0.38,0,1.25,1.12,2.96,2.67,0,B,2021,156094284.9
331,l.kyalisiima,Byasier Pujan,Stacked Rocks,22,1997,13.49,1.17,0.81,0.46,0.21,0.49,0.49,1.78,1,1.35,17.96,4.74,1,4.5,7,6.55,0.71,0.14,0,0.58,0.83,2.14,0.28,0,A,2021,155562233.6
2496,p.paterson,Nganion,Serious Magicians,31,1989,16.89,1.3,0.92,0.8,0.51,0.09,0.56,1.95,1,1.23,12.09,3.16,1,4.07,5.19,2.79,1.92,0.16,0.15,1.9,1.06,2.37,2.42,0,E,2021,155494256.2
988,j.nyondo,Giumle Lizeibon,Awkward Trailblazers,20,2000,13.12,2.08,1.57,0.78,0.62,0.69,0.74,2.59,1,2,26.38,5.71,1,6.66,12.77,6.91,2.06,0.07,0,1.84,1.27,3.3,0.33,0.02,C,2021,155233701.4
689,s.nalugwa,Biarizea,Simple Privateers,33,1986,17.99,2.18,1.64,1.56,0.51,0.22,0.77,2.09,1,1.3,11.34,3.62,1,5.96,4.43,1.09,1.8,0.49,0.02,1.33,1.18,3.27,3.11,0,B,2021,154628258.6
2120,j.zacarias,Janmico,Flying Penguins,25,1995,14.67,1.59,1.07,1.03,0.55,0.04,0.53,1.06,1,0.41,9.24,3.28,1,4.05,4.75,0.57,1.2,0.49,0,0.75,0.87,2.54,7.23,0.12,E,2021,154469598
287,f.mtambo,Nganion,Solemn Cougars,27,1993,14.84,2.13,0.94,0.46,1.25,0.36,0.65,2.73,1,2.17,23.19,6.17,1,4.37,11.78,6.94,2.07,0.08,0.09,2.02,1.21,3.44,0.5,0.1,A,2021,154090713.7
1115,j.nakyanzi,Esia,Marvelous Anchors,26,1993,15.24,1.87,1.08,1.66,0.42,0,0.52,1.32,1,0.66,10.04,3.73,1,5.96,3.76,0.36,1.47,0.78,0,0.75,1.34,3.19,4.05,0,C,2021,153989910.4
1667,i.goh,Sobianitedrucy,Hideous Spartans,21,1999,13.3,0.67,0.66,0.22,0.44,0.08,0.16,0.74,1,0.46,9.66,2.05,1,2.55,4.48,2.62,0.52,0.01,0,0.5,0.27,1.03,0.36,0,D,2021,153348274.3
726,k.golan,Lylimi,Solemn Leopards,33,1986,17.79,1.47,0.95,0.94,0.17,0.25,0.69,1.36,1,0.78,13.21,4.72,1,6.12,5.05,2.07,1.84,0.14,0.01,1.75,1.37,2.73,2.34,0.08,B,2021,153098750.4
1038,z.frank,Esia,Fiery Governors,26,1993,15.2,2.86,1.71,2.07,0.7,0.08,1.63,2.48,1,0.89,8.78,3.82,1,6.01,2.44,0.48,1.58,1.36,0.09,0.25,1.9,4.86,8.08,0.21,C,2021,152699199.4
546,c.nurjanah,New Somoe,Mean Colts,28,1992,15.99,2.48,1.21,1.13,1.19,0.12,0.8,1.23,1,0.44,10.97,3.55,1,6.35,4.05,0.53,1.28,0.41,0.15,0.82,1.7,4.09,5.5,0,B,2021,152484980.2
2228,y.nakimbugwe,Nganion,Mad Bees,29,1991,15.66,2.67,2.01,0.96,1.23,0.6,0.76,2.63,1,1.7,21.61,6.51,1,5.5,11.16,4.9,1.58,0.08,0,1.43,1.48,4.06,0.88,0.06,E,2021,150692627.5
1958,j.dubois,Mico,Sugar Bengals,28,1992,15.42,0.76,0.48,0.5,0.16,0.08,0.25,1.28,1,1.13,11.47,3.33,1,3.34,4.91,3.16,1.46,0.2,0,1.33,0.7,1.42,0.96,0,D,2021,150423973.7
422,e.sommer,Imaar Vircoand,Flawless Cows,26,1994,14.55,2.36,1.81,1.03,1.04,0.23,1.05,2.93,1,1.84,11.62,3.85,1,2.78,6.23,2.78,1.25,0.4,0.02,0.91,1.02,3.5,1.27,0.11,B,2021,150273468.2
363,g.abbas,Reugha,Swift Musketeers,22,1998,13.74,3.38,1.56,1.84,0.86,0.71,1.21,3.87,1,2.63,24.01,6.8,1,8.88,9.05,6.25,1.89,0.08,0,1.89,0.78,4.11,1.1,0,A,2021,150172451.4
566,g.bernardi,Dosqaly,Mean Poets,34,1986,18.08,2.5,1.39,1.25,0.98,0.2,0.6,1.75,1,1.13,11.85,3.52,1,4.72,4.98,2.19,1.53,0.15,0,1.44,1.31,3.87,2.67,0.08,B,2021,149827286.1
1906,f.meier,Sobianitedrucy,Spicy Pointers,18,2001,13.12,2.15,1.28,1.13,0.75,0.19,0.52,1.76,1,1.13,23.23,5.1,1,9.95,10.76,2.64,1.99,0.08,0.01,1.8,1.34,3.52,1.88,0.08,D,2021,148469999.1
2660,j.wulandari,Nganion,Marvelous Coyotes,26,1994,14.9,0.86,0.32,0.7,0.28,0.05,0.17,0.67,1,0.49,5.51,1.53,1,3.31,1.87,0.31,1.25,0.54,0,0.67,0.54,1.4,3.57,0.06,RFL,2021,146429681.3
1236,l.adri,Esia,Serious Cyclones,24,1996,13.98,2.56,1.68,0.82,1.43,0.24,0.73,2.79,1,1.98,21.07,5.77,1,5.91,12.16,2.91,2.23,0.55,0.07,1.69,1.4,4.07,1.07,0.06,C,2021,145973433.1
482,e.apiyo,Pierrema,Golden Rustlers,21,1999,13.11,1.95,1.21,0.61,0.86,0.41,0.36,1.52,1,1.29,22.84,5.97,1,6.65,11.33,4.94,1.77,0.11,0.07,1.42,0.81,2.86,0.38,0,B,2021,145583370.3
1620,m.ogbonna,Mico,Flying Bombadiers,20,1999,13.08,1.6,0.67,0.86,0.54,0.16,0.52,1.48,1,0.82,15.63,3.14,1,5.63,5.95,4.29,1.72,0.01,0.09,1.66,0.22,2,1.45,0.03,D,2021,145356109.7
2075,d.purwanto,Lefghau,Delta Colts,23,1996,13.09,0.62,0.25,0.24,0.21,0.23,0.03,0.97,1,0.88,17.42,4.2,1,1.87,7.58,8.07,1.27,0.2,0.01,1.17,0,0.66,0.86,0.06,E,2021,144847500.1
429,o.naderi,Badad,Glistening Paladins,27,1992,15.25,1.22,0.62,0.87,0.4,0.08,0.25,0.73,1,0.37,6.95,2.23,1,4.26,2.38,0.2,1.51,0.53,0,0.94,0.97,2.37,5.5,0.06,B,2021,144639698.1
779,i.nantale,Lefghau,Supreme Janes,30,1990,16.64,4.45,2.3,2.63,1.6,0.15,1.83,3.45,1,1.65,19.26,6.04,1,9.61,7.67,1.99,2.89,0.46,0.12,2.35,1.25,5.61,3.92,0,B,2021,144268739.4
1190,j.nahabwe,Byasier Pujan,Red Artichokes,27,1992,15.09,0.46,0.53,0.15,0.42,0.06,0.17,0.36,1,0.33,5.24,2.08,1,3.23,1.72,0.13,1.55,0.56,0.05,1,0.61,1.12,6.78,0.1,C,2021,143988851.4
794,b.apio,Pierrema,Supreme Janes,27,1992,14.76,2.59,1.71,1.08,1.25,0.1,0.73,1.65,1,0.99,16.73,5.86,1,5.01,9.09,2.44,1.19,0.05,0,1.04,1.59,4.14,0.93,0.02,B,2021,143250239
1640,e.ghosh,Sobianitedrucy,Hideous Spartans,30,1989,16.31,1.6,1.02,0.95,0.54,0.09,0.53,1.3,1,0.78,8.64,2.94,1,4.89,3.26,0.62,1.88,0.79,0,0.82,1.39,3.04,4.88,0.05,D,2021,142558749.9
2477,e.amponsah,Nganion,Screaming Ramblers,29,1991,15.58,1.38,0.97,0.6,0.57,0.25,0.22,1.6,1,1.25,19.73,4.76,1,4.99,10.16,4.53,1.07,0.06,0,1.08,1.07,2.59,0.74,0,E,2021,142523611.1
1673,x.kho,Mico,Marvelous Heels,23,1997,13.55,1.34,0.79,0.48,0.33,0.37,0.47,1.09,1,0.51,13.24,3.83,1,4.43,4.33,4.65,2.06,0.08,0.01,1.98,1.02,2.38,1.43,0,D,2021,142461487.8
996,a.ross,Esia,Awkward Trailblazers,20,2000,12.99,1.95,1.17,1.3,0.58,0.2,0.95,2.77,1,1.81,21.49,6.03,1,8.18,9.59,3.77,2.02,0.47,0.04,1.72,1.1,2.99,2.28,0,C,2021,142011167.4
896,z.ogawa,Coastpa Barleslands,Villainous Eagles,25,1995,13.94,1.67,1.28,0.52,0.43,0.48,0.48,1.94,1,1.23,21.3,6.57,1,5.72,8.75,6.79,1.37,0.01,0,1.23,0.55,2.12,0.4,0,B,2021,141974516.9
1321,f.quansah,Southern Ristan,Supreme Jaguars,25,1994,13.78,1.31,0.96,0.81,0.3,0.28,0.14,1.58,1,1.46,22.09,6.1,1,4.71,8.07,9.17,1.09,0.09,0,1.11,0.73,2.05,0.37,0,C,2021,141637618
535,e.ayerango,Loco Phirema,Jumping Beans,25,1995,14.24,1.13,0.73,0.67,0.11,0.46,0.32,1.4,1,1.09,14.99,3.44,1,4.63,5.81,4.56,1.84,0.18,0,1.8,0.57,1.84,0.22,0.02,B,2021,141362528.7
