,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Performance PK,Performance PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,League,Year
2703,Y. Anguyo,Republic of Denand Landsa,FWMF,Walking Runners,23,1996,0.85,0.06,1.21,1.29,100.01,1.29,1.24,-0.02,0.04,11.07,0.0,0.0,-0.09,0.22,0.19,0.09,-0.08,-0.04,RFL,2020
2704,I. Lukwago,People's Land of Maneau,GK,Walking Runners,36,1983,38.08,0.03,0.12,0.0,100.08,0.0,0.04,0.04,-0.1,9.08,-0.08,0.1,0.01,0.07,-0.05,0.17,0.01,-0.01,RFL,2020
2705,J. Graham,Dosqaly,MF,Walking Runners,31,1988,29.2,0.05,0.65,-0.05,5.26,0.62,-0.01,0.05,-0.03,26.62,0.05,-0.06,-0.08,0.06,0.07,-0.04,0.01,-0.02,RFL,2020
2706,K. Van den Berg *,Dosqaly,MF,Walking Runners,26,1993,35.03,0.18,1.84,0.29,19.45,1.73,0.27,-0.03,0.35,16.76,0.09,-0.08,-0.09,0.14,0.11,0.11,-0.05,-0.09,RFL,2020
2707,G. Muchemwa,People's Land of Maneau,MF,Walking Runners,29,1989,10.79,0.12,1.57,0.48,29.36,1.48,0.37,0.05,0.19,16.82,0.0,-0.09,0.05,0.15,0.19,0.04,-0.09,-0.1,RFL,2020
2708,I. Mulondo,People's Land of Maneau,MF,Walking Runners,24,1994,10.33,0.09,0.91,-0.01,0.02,0.96,0.04,0.09,,21.6,0.16,0.05,0.03,-0.02,-0.03,0.0,0.0,-0.12,RFL,2020
2709,B. Ayuba,Rarita,MF,Walking Runners,19,1999,0.16,-0.06,5.1,4.95,99.95,4.1,4.12,0.0,-0.04,22.89,0.01,0.02,-0.08,0.02,0.02,0.1,-0.01,-0.05,RFL,2020
2710,M. Obadiah,People's Land of Maneau,MFFW,Walking Runners,24,1995,24.99,0.1,1.17,0.15,11.07,1.14,0.16,0.0,0.32,18.01,-0.06,0.03,-0.02,0.11,0.12,-0.01,-0.04,-0.06,RFL,2020
2711,D. Bergmann,People's Land of Maneau,DF,Wild Hornets,26,1993,37.97,0.1,0.06,-0.03,,-0.02,0.06,,,,-0.08,0.06,0.03,0.0,-0.02,,-0.05,0.04,RFL,2020
2712,E. D'angelo,Rarita,DF,Wild Hornets,29,1990,6.67,-0.01,0.01,-0.06,,-0.09,-0.06,,,,-0.09,-0.07,-0.06,-0.02,-0.08,,-0.09,0.02,RFL,2020
2713,E. Koç,Rarita,DF,Wild Hornets,27,1992,31.51,0.13,1.05,0.53,44.11,1.03,0.57,0.1,0.36,10.95,0.07,-0.03,-0.06,0.26,0.11,0.13,-0.04,-0.09,RFL,2020
2714,E. Meiyr,Rarita,DF,Wild Hornets,25,1994,32.18,-0.02,0.55,0.1,29.47,0.57,0.25,0.05,0.49,17.97,0.01,0.05,-0.08,-0.05,-0.01,0.1,-0.05,-0.08,RFL,2020
2715,F. Mahachi,Rarita,DF,Wild Hornets,20,1999,7.17,0.02,0.61,0.02,0.08,0.67,0.03,-0.07,,13.0,0.07,0.02,-0.09,0.07,0.01,-0.03,-0.02,-0.1,RFL,2020
2716,O. Oketcho,Rarita,DF,Wild Hornets,22,1997,1.74,0.07,0.02,-0.04,,0.03,0.03,,,,0.04,0.04,0.01,0.07,-0.07,,-0.06,0.06,RFL,2020
2717,R. Taketa,Rarita,DF,Wild Hornets,22,1997,2.17,0.07,-0.09,-0.03,,-0.08,0.08,,,,-0.09,-0.03,-0.04,0.02,0.08,,-0.09,0.04,RFL,2020
2718,W. Guo,Rarita,DF,Wild Hornets,29,1990,30.08,0.02,0.68,0.25,34.9,0.82,0.36,0.12,0.15,12.49,-0.02,-0.07,-0.07,0.04,0.1,0.12,0.08,0.0,RFL,2020
2719,W. Yeoh,Rarita,DF,Wild Hornets,28,1991,21.98,0.03,0.27,0.11,75.04,0.21,0.2,-0.05,-0.07,10.24,0.04,0.06,0.09,-0.08,-0.08,0.14,-0.09,-0.05,RFL,2020
2720,B. Quaye,Rarita,FW,Wild Hornets,21,1998,3.35,0.64,3.4,0.88,27.22,3.31,0.97,0.2,0.6,12.49,0.09,-0.03,-0.09,0.66,0.78,0.22,-0.09,-0.04,RFL,2020
2721,F. Ajio,Rarita,FW,Wild Hornets,28,1991,35.98,0.43,3.18,1.05,34.19,3.11,1.16,0.15,0.37,15.04,0.09,0.05,0.02,0.35,0.34,0.07,0.11,-0.03,RFL,2020
2722,P. Delgado,Rarita,FW,Wild Hornets,20,1998,0.13,0.01,0.04,-0.02,,-0.01,0.02,,,,-0.07,-0.05,0.0,-0.09,-0.02,,-0.03,0.04,RFL,2020
2723,E. Alowo,Greri Landmoslands,FWMF,Wild Hornets,22,1996,25.46,0.34,2.76,0.97,37.67,2.65,1.01,0.1,0.34,13.77,0.05,0.03,0.06,0.47,0.34,0.21,-0.1,-0.05,RFL,2020
2724,G. Mandaza,Greri Landmoslands,FWMF,Wild Hornets,23,1995,3.14,0.3,3.1,1.28,39.94,3.21,1.27,0.19,0.31,13.51,0.0,0.04,0.05,0.48,0.43,0.16,-0.12,-0.22,RFL,2020
2725,D. Nasser,Nganion,FWMF,Wild Hornets,23,1996,28.84,0.21,1.44,0.44,27.88,1.42,0.34,0.12,0.29,19.66,0.06,0.1,-0.08,0.2,0.15,0.1,0.04,0.02,RFL,2020
2726,A. Tindimwebwa,Rarita,FWMF,Wild Hornets,19,2000,10.38,0.38,1.58,0.55,35.22,1.59,0.63,0.18,0.57,16.38,0.01,-0.06,-0.02,0.16,0.11,0.15,0.1,0.12,RFL,2020
2727,E. Miyazaki,Greri Landmoslands,GK,Wild Hornets,31,1988,37.97,0.1,-0.03,0.07,,0.04,0.0,,,,-0.07,0.08,0.03,0.09,-0.06,,0.04,-0.06,RFL,2020
2728,O. Contreras,Greri Landmoslands,MF,Wild Hornets,32,1986,34.41,0.12,0.58,0.16,27.21,0.66,0.24,0.15,0.13,23.78,0.05,0.01,-0.06,0.09,0.12,0.01,0.11,0.03,RFL,2020
2729,S. Nyarko,Greri Landmoslands,MF,Wild Hornets,22,1997,33.95,0.1,1.85,0.37,16.17,1.84,0.21,0.06,0.28,26.95,0.12,0.01,0.01,0.11,-0.01,0.05,-0.07,-0.08,RFL,2020
2730,C. Mitrovi?,Southern Ristan,MFDF,Wild Hornets,24,1995,31.1,0.12,0.73,0.18,25.06,0.72,0.09,0.24,0.86,13.33,-0.02,0.06,0.03,0.12,-0.04,0.01,0.12,0.0,RFL,2020
2731,H. Amade,Rarita,MFFW,Wild Hornets,19,2000,1.31,-0.04,1.39,0.0,0.0,1.35,0.05,0.06,,16.09,0.01,-0.09,0.06,0.17,0.0,0.04,-0.01,-0.04,RFL,2020
2732,I. Winter,Danan Seekeeling,DF,Fanatical Outlaws,28,1991,13.38,0.04,0.67,0.21,24.96,0.66,0.07,0.14,0.59,9.67,-0.1,0.08,-0.08,0.01,-0.02,0.0,0.01,0.0,A,2021
2733,P. Nakubulwa,Dosqaly,DF,Fanatical Outlaws,23,1997,15.34,0.22,0.3,0.08,66.67,0.28,0.22,0.62,0.97,8.23,-0.08,0.09,0.02,0.06,0.05,0.06,0.08,0.09,A,2021
2734,Z. Iqbal,Galamily,DF,Fanatical Outlaws,27,1992,33.91,-0.04,0.35,0.14,33.33,0.5,0.1,-0.09,0.02,16.69,-0.07,-0.01,0.0,0.08,0.13,0.1,0.0,0.01,A,2021
2735,F. Kizito,People's Land of Maneau,DF,Fanatical Outlaws,20,2000,5.74,0.11,0.46,0.12,33.28,0.49,0.24,0.38,0.94,20.86,0.06,-0.1,0.09,0.04,-0.02,0.07,0.03,0.19,A,2021
2736,L. Rezaei,People's Land of Maneau,DF,Fanatical Outlaws,30,1989,35.2,-0.01,0.6,0.08,21.12,0.62,0.18,0.02,0.1,24.66,0.31,0.04,0.07,0.02,-0.04,0.01,-0.06,-0.11,A,2021
2737,S. Anyait,People's Land of Maneau,DF,Fanatical Outlaws,30,1990,21.38,0.09,0.77,0.22,31.26,0.67,0.31,0.1,0.67,8.26,0.05,-0.02,-0.1,0.13,0.01,0.06,-0.01,0.08,A,2021
2738,J. Teko,Sobianitedrucy,DF,Fanatical Outlaws,32,1988,27.68,0.07,0.37,0.21,33.24,0.48,0.09,0.33,0.83,7.16,0.06,0.08,0.02,-0.02,-0.03,0.18,-0.04,0.14,A,2021
2739,I. Huber,Lenia Gerdanho,DFFW,Fanatical Outlaws,26,1993,11.24,0.07,0.5,0.11,33.26,0.45,0.26,-0.1,-0.05,21.32,-0.09,0.09,-0.01,0.08,-0.07,0.01,-0.02,0.03,A,2021
2740,J. Bala,People's Land of Maneau,DFFW,Fanatical Outlaws,27,1992,6.27,0.11,0.47,0.39,66.66,0.41,0.35,0.26,0.51,14.11,-0.08,0.0,-0.07,0.05,0.06,0.13,0.08,0.17,A,2021
2741,D. Oren,Central Diasongo,FW,Fanatical Outlaws,26,1994,10.41,0.28,2.39,1.06,44.08,2.49,0.98,0.04,0.35,9.57,0.09,-0.01,-0.06,0.35,0.29,0.13,0.1,0.02,A,2021
2742,I. Namirimu,Thaijagypt,FW,Fanatical Outlaws,30,1990,21.82,0.45,2.98,1.04,35.88,2.92,1.07,0.14,0.46,12.81,-0.03,0.1,-0.06,0.57,0.49,0.27,-0.08,0.0,A,2021
2743,M. Namukwaya,Ngoque Blicri,FWDF,Fanatical Outlaws,32,1987,0.18,-0.01,0.03,-0.07,,-0.02,-0.05,,,,0.1,0.1,0.0,0.01,0.03,,0.08,0.05,A,2021
2744,J. Akello,Bernepamar,FWMF,Fanatical Outlaws,30,1989,4.3,-0.03,1.72,0.58,28.59,1.73,0.53,-0.06,-0.08,19.51,0.03,0.04,0.08,0.2,0.04,0.16,-0.11,-0.08,A,2021
2745,I. Kamukama,Lefghau,FWMF,Fanatical Outlaws,27,1993,0.0,-0.05,-0.06,0.04,,0.08,-0.09,,,,0.02,0.01,0.09,0.08,-0.01,,-0.03,-0.07,A,2021
2746,W. Lew,Nganion,FWMF,Fanatical Outlaws,24,1996,28.54,0.1,1.71,0.46,30.03,1.7,0.45,0.12,0.36,15.69,0.08,-0.05,-0.03,0.23,0.17,0.15,-0.09,-0.04,A,2021
2747,B. De Rosa,People's Land of Maneau,FWMF,Fanatical Outlaws,23,1996,28.57,0.35,1.98,0.62,29.15,1.86,0.62,0.09,0.43,16.17,0.02,-0.07,0.06,0.28,0.22,0.2,0.02,0.09,A,2021
2748,D. John,Pierrema,FWMF,Fanatical Outlaws,24,1995,15.52,-0.03,2.2,0.67,31.43,2.34,0.63,0.06,0.09,19.93,0.08,0.09,0.06,0.13,0.17,0.05,-0.06,-0.06,A,2021
2749,S. Kiconco,Nkasland Cronestan,GK,Fanatical Outlaws,35,1985,35.05,-0.05,0.06,0.02,,-0.03,-0.01,,,,0.04,-0.08,0.05,0.01,-0.09,,-0.01,-0.01,A,2021
2750,R. Chee,Southslands,GK,Fanatical Outlaws,33,1987,2.97,-0.09,-0.07,0.0,,0.09,0.09,,,,0.01,-0.03,0.05,-0.03,-0.05,,0.09,-0.04,A,2021
2751,F. Pop,Galamily,MF,Fanatical Outlaws,25,1995,37.96,0.28,1.72,0.71,35.85,1.7,0.56,0.09,0.51,11.37,-0.01,0.0,-0.08,0.2,0.27,0.08,0.04,-0.03,A,2021
2752,D. Alshehri,People's Land of Maneau,MF,Fanatical Outlaws,33,1987,7.98,0.02,0.15,-0.07,0.0,0.13,0.08,-0.1,,21.04,0.08,-0.01,-0.04,0.08,0.04,-0.07,-0.07,-0.08,A,2021
2753,I. Iddrisu,People's Land of Maneau,MF,Fanatical Outlaws,21,1999,32.0,0.02,0.85,0.26,29.21,0.7,0.29,0.11,0.14,19.92,-0.02,0.05,0.14,0.09,0.0,0.06,-0.05,-0.11,A,2021
2754,E. Taylor,People's Land of Maneau,MFFW,Fanatical Outlaws,27,1992,15.87,0.47,2.51,1.32,49.91,2.62,1.18,0.19,0.37,20.88,0.1,0.04,0.14,0.39,0.21,0.04,0.26,0.27,A,2021
2755,H. Tourgeman,Rarita,MFFW,Fanatical Outlaws,27,1993,6.22,0.26,1.91,0.53,24.91,2.0,0.48,0.04,0.33,17.17,0.17,-0.08,0.09,0.2,0.09,0.04,-0.06,-0.01,A,2021
2756,Q. Hor,Byasier Pujan,DF,Fighting Cougars,28,1992,25.27,0.12,0.65,0.18,28.65,0.56,0.1,-0.01,0.23,15.57,0.1,0.08,-0.02,0.0,0.08,0.16,0.01,0.02,A,2021
2757,D. Ikeda,People's Land of Maneau,DF,Fighting Cougars,28,1991,32.6,0.22,0.99,0.49,43.28,0.87,0.48,0.25,0.3,12.25,0.13,-0.06,0.02,0.17,0.13,0.01,0.15,0.17,A,2021
2758,G. Köhler,People's Land of Maneau,DF,Fighting Cougars,26,1994,18.5,0.06,1.24,0.28,18.19,1.12,0.23,0.0,0.41,17.31,0.13,-0.01,0.0,0.15,0.06,0.12,0.0,0.1,A,2021
2759,I. Ludwig,People's Land of Maneau,DF,Fighting Cougars,28,1992,22.96,-0.01,0.71,0.21,37.54,0.74,0.2,0.13,0.25,14.24,0.09,-0.09,-0.06,0.0,0.07,0.19,0.0,0.02,A,2021
2760,K. Tóth,People's Land of Maneau,DF,Fighting Cougars,25,1995,28.73,-0.03,0.74,0.18,24.95,0.88,0.31,0.12,0.14,12.7,-0.02,-0.09,-0.06,0.05,-0.01,0.0,0.02,0.02,A,2021
2761,U. Ortíz,People's Land of Maneau,DF,Fighting Cougars,19,2000,9.78,0.2,0.6,0.24,33.24,0.59,0.17,0.18,0.47,12.09,-0.02,0.04,0.03,0.06,0.02,0.08,0.03,-0.03,A,2021
2762,Y. Rabinovitch,Western Niasland,DF,Fighting Cougars,28,1992,0.11,-0.05,10.1,10.03,99.96,9.95,10.07,-0.08,0.02,31.98,0.06,-0.04,0.03,0.1,0.07,-0.03,-0.08,0.06,A,2021
2763,R. Petrenko,Lefghau,DFMF,Fighting Cougars,25,1995,2.35,-0.04,1.67,-0.02,-0.1,1.8,-0.01,0.07,,6.87,0.03,0.06,0.01,0.22,0.18,0.02,-0.17,-0.12,A,2021
2764,D. Kikuchi,Nkasland Cronestan,DFMF,Fighting Cougars,21,1999,7.1,-0.1,1.75,0.44,23.01,1.86,0.36,-0.02,-0.02,17.78,0.09,0.03,-0.06,0.05,0.11,0.07,-0.05,-0.18,A,2021
2765,Z. ?no,People's Land of Maneau,DFMF,Fighting Cougars,22,1997,35.57,0.02,0.21,0.01,0.03,0.26,0.08,-0.06,,16.51,-0.06,0.07,0.05,0.02,-0.03,0.17,-0.06,0.05,A,2021
2766,W. Nabatanzi,Esia,FW,Fighting Cougars,19,2001,0.12,0.09,0.09,-0.07,,-0.04,-0.07,,,,0.0,-0.08,-0.07,0.0,0.04,,-0.07,-0.02,A,2021
2767,V. Taheri,People's Land of Maneau,FW,Fighting Cougars,29,1990,17.17,0.39,1.95,0.91,42.39,1.89,0.92,0.08,0.47,12.39,0.04,-0.04,0.09,0.41,0.37,0.26,0.03,0.08,A,2021
2768,R. binti Hassan,Southslands,FW,Fighting Cougars,20,2000,8.71,0.31,2.56,0.89,34.83,2.59,1.0,0.01,0.16,13.77,0.08,-0.02,0.04,0.4,0.33,0.19,-0.25,-0.19,A,2021
2769,K. Gonçalves,Quewenia,FWDF,Fighting Cougars,21,1999,1.82,0.05,3.66,1.02,28.54,3.61,0.95,0.0,-0.05,13.05,0.0,0.05,-0.04,0.23,0.26,0.07,-0.4,-0.33,A,2021
2770,G. Bellini,Buhegeor,FWMF,Fighting Cougars,26,1994,1.08,-0.05,-0.02,-0.03,,0.06,0.09,,,,0.07,0.0,0.02,0.08,-0.01,,0.05,-0.03,A,2021
2771,L. Wafula,Dosqaly,FWMF,Fighting Cougars,23,1996,27.86,0.21,2.44,0.79,32.76,2.43,0.79,-0.01,0.19,14.16,-0.09,0.12,0.07,0.48,0.25,0.08,-0.27,-0.23,A,2021
2772,M. Hsieh,Lonnia Haba,FWMF,Fighting Cougars,26,1993,5.98,0.03,3.27,0.57,15.78,3.2,0.45,0.07,-0.01,18.18,-0.09,0.1,-0.02,0.33,0.37,0.0,-0.33,-0.33,A,2021
2773,F. Cho,Southern Ristan,FWMF,Fighting Cougars,25,1994,29.03,0.22,2.05,0.87,39.78,2.06,0.76,0.12,0.15,17.66,0.08,-0.03,0.04,0.09,0.25,0.06,-0.08,-0.02,A,2021
2774,Z. Marini,Central Republic of Boekrainego,GK,Fighting Cougars,28,1992,10.94,-0.06,-0.03,-0.06,,0.09,-0.07,,,,0.09,-0.07,0.0,0.05,-0.05,,0.01,0.02,A,2021
2775,P. Robinson,Nganion,GK,Fighting Cougars,22,1997,27.01,0.03,0.06,-0.04,,-0.07,0.09,,,,-0.05,-0.09,-0.01,0.06,-0.01,,0.09,0.08,A,2021
2776,I. Azulay,Byasier Pujan,MF,Fighting Cougars,28,1991,2.3,0.05,1.63,0.82,49.94,1.68,0.95,0.03,0.1,17.0,-0.01,-0.09,0.02,-0.03,-0.06,0.09,0.01,0.06,A,2021
2777,H. Narvaez,Reugha,MF,Fighting Cougars,23,1996,34.65,0.01,1.3,0.17,7.14,1.15,0.0,0.03,0.25,25.37,0.08,0.04,0.07,0.1,0.06,0.1,-0.11,-0.09,A,2021
2778,R. Matovu,Southslands,MF,Fighting Cougars,20,1999,-0.07,0.0,-0.09,0.03,,-0.02,0.0,,,,0.06,0.03,-0.06,-0.1,0.02,,-0.03,-0.08,A,2021
2779,P. Chew,Esia,MFDF,Fighting Cougars,29,1991,27.7,0.03,0.98,0.12,14.39,0.99,0.18,0.1,-0.05,20.97,0.17,0.16,0.11,0.1,0.05,0.11,0.0,-0.05,A,2021
2780,O. Kia,Western Niasland,MFDF,Fighting Cougars,21,1998,9.98,0.06,0.7,0.27,28.66,0.61,0.28,0.12,0.56,17.24,-0.03,0.04,-0.07,0.14,0.08,0.14,0.05,0.03,A,2021
2781,Q. Nabimanya,Imaar Vircoand,MFFW,Fighting Cougars,21,1998,12.47,-0.01,2.16,0.32,11.59,2.15,0.29,0.13,0.35,21.44,0.12,-0.05,-0.06,0.07,0.05,-0.06,-0.03,0.0,A,2021
2782,I. Ocen,People's Land of Maneau,MFFW,Fighting Cougars,32,1988,17.75,0.01,1.26,0.27,18.21,1.29,0.15,-0.04,0.33,16.29,0.09,-0.08,0.02,0.11,0.1,0.13,0.01,-0.01,A,2021
2783,D. Daniel,People's Land of Maneau,DF,Great Galactic Gorgons,27,1993,30.97,0.03,0.34,-0.01,15.4,0.32,0.1,0.03,-0.03,16.56,0.08,0.04,-0.1,0.01,0.0,0.05,-0.09,-0.13,A,2021
2784,F. Kembabazi,People's Land of Maneau,DF,Great Galactic Gorgons,23,1996,11.29,0.14,0.21,0.16,50.03,0.11,0.06,0.47,1.01,4.87,-0.05,0.04,0.05,0.03,0.04,0.17,0.07,0.06,A,2021
2785,F. Lieu,People's Land of Maneau,DF,Great Galactic Gorgons,18,2002,0.0,0.03,-0.09,-0.05,,-0.05,-0.07,,,,0.03,-0.04,0.07,-0.06,0.07,,0.04,-0.05,A,2021
2786,H. Akugizibwe,People's Land of Maneau,DF,Great Galactic Gorgons,26,1994,2.09,-0.07,-0.09,-0.07,,-0.07,-0.01,,,,0.02,-0.06,-0.09,0.04,0.06,,0.01,0.08,A,2021
2787,I. Akpan,People's Land of Maneau,DF,Great Galactic Gorgons,37,1982,5.82,0.04,0.0,-0.08,,0.0,0.06,,,,0.01,-0.04,0.03,0.08,0.09,,0.04,0.09,A,2021
2788,T. Awuah,People's Land of Maneau,DF,Great Galactic Gorgons,26,1993,9.78,-0.04,0.56,-0.08,0.0,0.42,-0.1,-0.02,,12.5,0.01,0.07,-0.05,0.06,0.14,0.02,-0.1,-0.13,A,2021
2789,T. Barigye,People's Land of Maneau,DF,Great Galactic Gorgons,23,1997,6.03,0.04,0.37,0.23,49.91,0.31,0.1,0.06,0.02,23.09,0.04,-0.05,0.08,0.02,0.07,-0.06,-0.01,0.04,A,2021
2790,U. Ban,People's Land of Maneau,DF,Great Galactic Gorgons,20,2000,12.3,0.22,1.41,0.65,41.17,1.35,0.56,0.22,0.34,12.25,0.02,-0.01,0.05,0.25,0.19,0.07,0.03,0.11,A,2021
2791,I. Najjemba,Southslands,DF,Great Galactic Gorgons,27,1992,29.23,0.03,0.47,0.17,21.48,0.54,0.13,-0.05,-0.07,9.85,-0.03,0.0,-0.05,0.07,0.02,0.01,0.0,-0.1,A,2021
2792,X. Nalukenge,Southslands,DF,Great Galactic Gorgons,30,1990,30.0,0.06,0.56,0.1,24.97,0.57,0.19,0.0,-0.06,18.01,-0.06,-0.07,-0.06,0.07,-0.05,0.12,-0.05,0.01,A,2021
2793,I. binti Omar,Djipines,DFMF,Great Galactic Gorgons,19,2000,23.25,0.03,0.34,0.16,28.56,0.3,0.09,0.07,-0.02,17.15,-0.09,-0.01,0.03,0.06,0.07,0.12,0.04,-0.08,A,2021
2794,M. Ludwig,Rarita,DFMF,Great Galactic Gorgons,32,1988,28.56,0.01,0.36,0.06,10.05,0.43,0.11,-0.07,0.01,13.1,-0.04,0.05,0.1,-0.03,0.07,0.01,-0.04,-0.11,A,2021
2795,R. Lambert,Ngoque Blicri,FW,Great Galactic Gorgons,23,1997,14.16,0.06,1.82,0.44,24.03,1.73,0.49,0.06,0.1,14.53,-0.04,0.03,-0.05,0.21,0.19,0.19,-0.19,-0.02,A,2021
2796,Y. Susanti,Ngoque Blicri,FW,Great Galactic Gorgons,24,1996,14.62,0.03,2.11,0.81,39.93,2.02,0.85,0.12,0.14,11.32,0.0,0.0,0.0,0.21,0.14,0.06,-0.21,-0.22,A,2021
2797,A. Schmitt,People's Land of Maneau,FW,Great Galactic Gorgons,34,1986,8.14,0.44,0.94,0.34,42.97,0.95,0.44,0.12,0.26,15.32,0.01,0.19,0.15,0.4,0.11,0.18,0.1,-0.06,A,2021
2798,U. Rodriguês,People's Land of Maneau,FW,Great Galactic Gorgons,17,2003,3.16,0.24,1.3,0.7,49.95,1.35,0.55,0.29,0.45,11.02,0.01,0.06,0.02,0.41,0.49,0.5,-0.16,-0.12,A,2021
2799,W. Swee,People's Land of Maneau,FW,Great Galactic Gorgons,20,2000,12.41,-0.03,2.09,0.49,28.01,2.05,0.54,0.02,0.06,19.67,0.09,0.06,-0.06,0.1,0.24,0.1,-0.06,-0.07,A,2021
2800,M. Nkhata,People's Land of Maneau,FWDF,Great Galactic Gorgons,16,2004,0.06,0.06,9.9,0.09,-0.09,8.16,0.0,-0.08,,12.11,0.1,-0.06,0.02,1.02,1.01,0.08,-0.92,-1.05,A,2021
2801,G. Elbaz,Dosqaly,FWMF,Great Galactic Gorgons,24,1996,3.37,0.05,1.12,0.66,50.0,1.14,0.56,-0.02,0.06,16.54,0.03,-0.04,0.04,0.28,0.14,0.17,-0.12,-0.15,A,2021
2802,H. Gomani,Southslands,FWMF,Great Galactic Gorgons,32,1987,26.7,0.31,2.77,0.93,33.27,2.62,0.85,0.03,0.33,17.38,0.1,0.0,0.0,0.25,0.24,0.16,0.03,0.02,A,2021
2803,A. Soong,People's Land of Maneau,GK,Great Galactic Gorgons,22,1998,37.93,0.05,-0.09,0.09,,-0.08,-0.01,,,,-0.04,0.09,-0.03,0.09,0.01,,0.06,0.03,A,2021
2804,A. Tayebwa,Dosqaly,MF,Great Galactic Gorgons,21,1999,0.12,0.08,-0.02,-0.05,,0.07,-0.07,,,,-0.02,0.03,-0.03,0.0,-0.08,,0.09,-0.08,A,2021
2805,D. Kojima,Highhlaands,MF,Great Galactic Gorgons,29,1991,24.7,0.08,0.47,0.05,9.09,0.45,0.09,0.07,0.03,28.91,0.1,0.0,0.09,-0.02,0.03,0.0,-0.06,0.03,A,2021
2806,A. Aryemo,Ngoque Blicri,MF,Great Galactic Gorgons,28,1991,28.68,-0.09,0.56,0.19,29.49,0.66,0.25,-0.08,-0.03,22.95,0.04,-0.03,-0.08,0.01,0.02,0.09,0.05,0.02,A,2021
2807,G. Gustafsson,People's Land of Maneau,MF,Great Galactic Gorgons,26,1994,22.5,0.02,0.82,0.17,21.02,0.93,0.09,-0.09,0.09,23.13,0.05,0.01,0.11,0.11,0.06,0.09,0.0,0.01,A,2021
2808,H. Susanto,Redohrainbri,MF,Great Galactic Gorgons,22,1998,12.39,-0.01,0.81,0.13,11.04,0.76,0.1,0.1,0.05,17.75,-0.02,0.15,-0.01,0.14,-0.05,0.0,-0.08,-0.07,A,2021
2809,F. Nakazibwe,People's Land of Maneau,MFDF,Great Galactic Gorgons,25,1994,17.8,-0.03,0.56,0.19,44.44,0.53,0.18,0.06,0.2,17.85,-0.07,-0.03,-0.1,0.03,0.15,0.06,0.07,-0.07,A,2021
2810,Z. Okon,Byasier Pujan,DF,Green Fleet,22,1998,0.93,-0.09,1.03,0.08,0.01,1.13,0.07,0.05,,28.45,-0.05,-0.09,0.02,-0.03,0.04,0.09,0.06,0.01,A,2021
2811,G. Nimusiima,Central Diasongo,DF,Green Fleet,26,1994,10.21,0.03,0.26,0.08,0.06,0.29,0.08,-0.06,,10.04,0.05,0.01,0.0,-0.01,0.04,0.06,-0.08,0.03,A,2021
2812,D. Chen,Lefghau,DF,Green Fleet,27,1992,7.64,-0.08,0.56,0.19,19.93,0.64,0.05,0.04,0.08,22.34,0.03,-0.05,0.06,0.13,-0.05,-0.05,-0.04,-0.12,A,2021
2813,C. Muyama,People's Land of Maneau,DF,Green Fleet,25,1995,29.52,0.09,0.34,0.1,54.54,0.4,0.3,0.04,0.27,18.0,0.06,0.08,0.1,0.0,-0.03,0.14,0.0,0.07,A,2021
2814,G. Hernández,People's Land of Maneau,DF,Green Fleet,22,1997,34.06,0.0,0.16,0.1,50.03,0.33,0.15,0.24,0.48,15.57,-0.05,0.05,-0.06,0.05,0.06,0.1,0.11,0.06,A,2021
2815,L. Mugumya,People's Land of Maneau,DF,Green Fleet,22,1997,4.48,0.05,-0.09,0.07,,0.03,0.03,,,,-0.01,-0.04,0.0,-0.07,-0.04,,-0.07,0.09,A,2021
2816,U. Kaahwa,People's Land of Maneau,DF,Green Fleet,17,2003,-0.05,0.04,-0.03,0.07,,0.07,0.08,,,,-0.05,0.05,0.1,0.02,0.06,,0.01,-0.02,A,2021
2817,U. Wright,People's Land of Maneau,DF,Green Fleet,27,1993,33.91,0.03,1.13,0.29,25.09,1.06,0.18,0.1,0.24,11.03,-0.07,0.02,-0.07,0.11,0.06,-0.03,-0.07,0.05,A,2021
2818,Z. Agyei,People's Land of Maneau,DF,Green Fleet,19,2000,2.0,0.0,0.45,0.51,99.97,0.56,0.47,0.09,-0.08,12.08,0.03,-0.02,0.04,-0.03,0.12,0.04,-0.03,0.01,A,2021
2819,Q. Sarfo,Xikong,DF,Green Fleet,26,1994,28.72,0.03,0.1,-0.01,25.1,0.05,-0.04,0.15,0.93,5.87,-0.03,0.03,-0.02,0.02,0.04,0.1,0.03,0.08,A,2021
2820,C. Gheorghe,Central Diasongo,FW,Green Fleet,18,2002,1.82,0.08,0.54,0.65,99.94,0.5,0.62,0.09,0.04,22.59,-0.01,-0.05,0.07,-0.04,-0.04,0.01,-0.07,0.0,A,2021
2821,I. Koomson,Djipines,FW,Green Fleet,22,1997,10.02,0.28,1.59,0.57,35.25,1.59,0.5,0.17,0.52,16.67,0.04,-0.07,0.09,0.22,0.14,0.17,0.13,0.03,A,2021
2822,L. Obote,Dosqaly,FW,Green Fleet,24,1995,16.33,0.15,2.62,1.36,48.73,2.58,1.36,0.1,0.24,14.04,0.08,-0.01,0.09,0.45,0.48,0.14,-0.22,-0.07,A,2021
