,Player,Nation,Pos,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
1098,V. Fernandez,Pahon,MF,29,1991,3.7,0.02,0.77,0.34,33.23,0.74,0.28,0.06,-0.02,,-0.04,-0.02,Tournament,2020,,,,,,
1099,Y. Kazemi,Pahon,MF,26,1995,3.19,0.03,1.06,0.33,33.23,0.87,0.24,0.04,0.08,,-0.05,-0.08,Tournament,2020,,,,,,
1100,D. Nishimura,People's Land of Maneau,DF,27,1994,5.06,-0.05,1.08,0.37,39.97,0.95,0.4,0.08,0.04,,-0.06,0.08,Tournament,2020,,,,,,
1101,K. Mirkovi?,People's Land of Maneau,DF,28,1993,1.86,0.04,0.08,-0.02,,0.1,0.02,,,,0.09,0.07,Tournament,2020,,,,,,
1102,O. Atim,People's Land of Maneau,DF,31,1990,4.45,0.08,0.63,-0.03,0.01,0.76,-0.06,0.07,,,-0.06,0.09,Tournament,2020,,,,,,
1103,T. Chebet,People's Land of Maneau,DF,24,1997,2.08,0.0,-0.06,-0.06,,0.06,0.02,,,,0.0,0.09,Tournament,2020,,,,,,
1104,U. Wright,People's Land of Maneau,DF,28,1993,2.33,-0.09,1.28,0.35,33.32,1.27,0.53,-0.07,0.01,,0.05,-0.09,Tournament,2020,,,,,,
1105,V. Thompson,People's Land of Maneau,DF,21,1999,1.13,0.06,1.82,1.88,100.02,1.69,1.85,0.07,-0.06,,-0.01,-0.04,Tournament,2020,,,,,,
1106,Z. Nakagawa,People's Land of Maneau,DF,24,1997,0.51,0.02,-0.02,-0.07,,-0.02,0.05,,,,-0.09,0.1,Tournament,2020,,,,,,
1107,N. Ono,People's Land of Maneau,FW,24,1997,1.13,-0.05,4.25,0.78,19.92,4.35,0.92,0.07,0.01,,0.09,-0.05,Tournament,2020,,,,,,
1108,T. Acom,People's Land of Maneau,FW,29,1992,0.39,0.09,0.07,-0.07,,-0.04,0.07,,,,0.04,-0.05,Tournament,2020,,,,,,
1109,T. Aguti,People's Land of Maneau,FW,26,1994,1.98,0.4,1.93,1.55,74.97,2.01,1.6,-0.07,0.06,,0.49,0.52,Tournament,2020,,,,,,
1110,Z. binti Zakaria,People's Land of Maneau,FW,28,1993,5.08,0.01,4.73,1.01,20.71,4.84,1.08,-0.05,-0.08,,-0.02,0.06,Tournament,2020,,,,,,
1111,Z. Makore,People's Land of Maneau,FW,24,1997,0.24,-0.04,4.92,-0.01,0.06,6.1,-0.08,0.03,,,0.04,0.01,Tournament,2020,,,,,,
1112,Z. Nabaweesi,People's Land of Maneau,FWMF,20,2001,0.16,0.09,0.02,0.01,,-0.09,-0.06,,,,0.07,0.03,Tournament,2020,,,,,,
1113,X. Neri,People's Land of Maneau,GK,27,1994,5.9,0.04,0.08,0.07,,0.03,0.09,,,,0.01,0.06,Tournament,2020,,,,,,
1114,A. Avako,People's Land of Maneau,MF,27,1994,1.03,0.0,0.08,-0.01,,-0.03,-0.06,,,,0.08,0.05,Tournament,2020,,,,,,
1115,C. Saad,People's Land of Maneau,MF,25,1995,2.09,-0.1,-0.08,0.05,,0.02,-0.09,,,,-0.06,-0.09,Tournament,2020,,,,,,
1116,F. Kalule,People's Land of Maneau,MF,24,1996,0.32,0.06,-0.04,0.07,,0.06,0.04,,,,-0.08,0.03,Tournament,2020,,,,,,
1117,G. Dijkstra,People's Land of Maneau,MF,20,2001,1.64,0.05,3.21,1.32,39.92,3.2,1.26,-0.08,-0.01,,0.02,-0.06,Tournament,2020,,,,,,
1118,H. Twongirwe,People's Land of Maneau,MF,31,1990,1.42,-0.1,-0.08,0.07,,-0.07,-0.08,,,,-0.07,-0.04,Tournament,2020,,,,,,
1119,I. Nayak,People's Land of Maneau,MF,25,1996,0.85,-0.08,0.08,0.01,,0.09,-0.02,,,,-0.01,0.01,Tournament,2020,,,,,,
1120,J. Singini,People's Land of Maneau,MF,21,2000,1.79,1.24,2.88,2.27,80.04,2.9,2.27,0.47,0.45,,0.08,-0.03,Tournament,2020,,,,,,
1121,O. Nampeera,People's Land of Maneau,MF,22,1999,3.55,0.61,2.13,0.78,37.59,2.33,0.81,0.26,0.61,,-0.05,-0.02,Tournament,2020,,,,,,
1122,A. Kamusiime,People's Land of Maneau,MFDF,31,1990,4.74,-0.02,0.22,-0.03,0.03,0.3,-0.09,-0.09,,,-0.1,-0.05,Tournament,2020,,,,,,
1123,D. Bergmann,People's Land of Maneau,MFDF,28,1993,2.08,0.0,0.51,0.49,99.97,0.41,0.57,0.06,-0.07,,0.02,-0.08,Tournament,2020,,,,,,
1124,I. Iddrisu,People's Land of Maneau,MFDF,22,1999,5.87,0.12,1.1,0.26,16.66,1.04,0.1,0.27,1.09,,0.09,-0.01,Tournament,2020,,,,,,
1125,Z. Rojas,People's Land of Maneau,MFDF,23,1998,1.92,0.04,0.58,-0.03,0.08,0.43,-0.07,-0.05,,,-0.05,-0.09,Tournament,2020,,,,,,
1126,K. Namuwaya,People's Land of Maneau,MFFW,26,1995,2.06,-0.06,1.97,-0.09,-0.09,2.01,-0.06,0.07,,,-0.05,0.05,Tournament,2020,,,,,,
1127,L. Malinga,People's Land of Maneau,MFFW,21,2000,2.04,0.04,0.38,-0.06,-0.09,0.39,0.08,-0.03,,,0.03,-0.03,Tournament,2020,,,,,,
1128,T. Ichikawa,People's Land of Maneau,MFFW,24,1997,1.87,0.63,2.68,1.18,40.09,2.73,1.21,0.08,0.01,,0.61,0.51,Tournament,2020,,,,,,
1129,F. Hadi,Prometricia,DF,29,1992,1.71,-0.05,0.57,0.04,-0.01,0.66,0.01,-0.1,,,0.05,0.1,Tournament,2020,,,,,,
1130,G. Shinde,Prometricia,DF,30,1991,1.19,0.03,0.9,0.03,0.06,0.92,0.1,-0.06,,,0.05,0.06,Tournament,2020,,,,,,
1131,W. Tindimwebwa,Prometricia,DF,30,1990,2.0,0.08,-0.02,-0.02,,0.01,-0.06,,,,0.09,0.07,Tournament,2020,,,,,,
1132,Z. Ojo,Prometricia,DF,24,1997,2.47,0.08,0.84,0.87,99.92,0.72,0.77,-0.03,-0.1,,0.03,-0.02,Tournament,2020,,,,,,
1133,C. binti Mohamed,Prometricia,DFFW,24,1997,3.56,0.07,0.49,0.37,50.03,0.64,0.19,-0.05,-0.06,,-0.03,0.02,Tournament,2020,,,,,,
1134,O. Turk,Prometricia,DFMF,27,1994,4.07,-0.09,0.77,0.52,66.75,0.72,0.54,0.01,-0.01,,0.02,-0.05,Tournament,2020,,,,,,
1135,A. Gomes,Prometricia,FW,29,1992,0.73,0.07,1.43,0.0,0.08,1.4,0.05,0.06,,,0.1,0.03,Tournament,2020,,,,,,
1136,H. Munthali,Prometricia,FW,25,1996,0.16,-0.05,4.95,-0.01,0.0,4.69,-0.05,0.04,,,-0.09,0.01,Tournament,2020,,,,,,
1137,L. Martín,Prometricia,FW,20,2001,1.61,0.69,0.6,0.51,100.06,0.58,0.6,1.05,1.09,,0.06,-0.06,Tournament,2020,,,,,,
1138,A. Chui,Prometricia,GK,32,1989,3.07,-0.05,-0.05,-0.08,,-0.01,0.01,,,,0.07,-0.05,Tournament,2020,,,,,,
1139,Q. Issah,Prometricia,GK,28,1993,0.91,-0.08,0.07,0.08,,0.01,0.07,,,,-0.09,0.06,Tournament,2020,,,,,,
1140,A. Nakisige,Prometricia,MF,25,1996,2.59,0.02,1.12,-0.08,-0.02,1.29,-0.02,-0.1,,,-0.09,0.0,Tournament,2020,,,,,,
1141,B. Mwima,Prometricia,MF,20,2000,1.78,-0.09,1.69,1.23,66.77,1.74,1.18,-0.01,0.07,,0.06,-0.04,Tournament,2020,,,,,,
1142,B. Wallner,Prometricia,MF,30,1991,1.08,0.06,-0.05,0.01,,-0.01,0.08,,,,-0.1,0.01,Tournament,2020,,,,,,
1143,I. Dupont,Prometricia,MF,27,1994,1.77,-0.03,0.0,-0.07,,0.08,-0.05,,,,0.08,-0.01,Tournament,2020,,,,,,
1144,O. Johnson,Prometricia,MF,25,1996,0.82,-0.02,1.09,-0.01,-0.02,1.16,0.0,-0.07,,,0.06,-0.08,Tournament,2020,,,,,,
1145,O. Shafiee,Prometricia,MF,30,1991,3.91,0.31,2.55,1.02,39.99,2.57,0.91,0.12,0.17,,0.07,0.05,Tournament,2020,,,,,,
1146,S. Gaby,Prometricia,MF,23,1998,0.86,-0.02,-0.05,-0.05,,-0.06,0.01,,,,-0.05,0.04,Tournament,2020,,,,,,
1147,Y. Gao,Prometricia,MF,23,1998,1.9,0.54,2.03,0.5,25.03,2.11,0.59,0.16,1.05,,0.0,-0.1,Tournament,2020,,,,,,
1148,E. Sugiyama,Prometricia,MFDF,32,1989,2.93,-0.1,0.93,0.25,33.32,0.96,0.25,-0.06,-0.03,,-0.01,0.08,Tournament,2020,,,,,,
1149,L. Kami?ski,Prometricia,MFDF,34,1987,1.87,-0.01,1.03,0.02,0.07,0.99,0.07,0.05,,,-0.04,-0.03,Tournament,2020,,,,,,
1150,G. Marchetti,Prometricia,MFFW,25,1996,2.93,-0.06,2.66,-0.07,0.01,2.71,0.06,0.06,,,0.05,-0.07,Tournament,2020,,,,,,
1151,C. Palmieri,Quewenia,DF,19,2002,0.09,-0.01,-0.02,0.03,,0.09,-0.03,,,,0.07,0.08,Tournament,2020,,,,,,
1152,H. Arthur,Quewenia,DF,25,1996,4.97,-0.03,0.14,0.06,-0.08,0.28,-0.01,0.06,,,-0.05,-0.04,Tournament,2020,,,,,,
1153,K. Oloya,Quewenia,DF,29,1992,1.95,-0.03,0.95,0.43,49.91,0.93,0.46,-0.09,-0.03,,0.05,0.07,Tournament,2020,,,,,,
1154,L. Kule,Quewenia,DF,28,1993,2.92,0.41,1.38,0.74,49.96,1.32,0.67,0.35,0.43,,0.04,-0.06,Tournament,2020,,,,,,
1155,M. Nabukwasi,Quewenia,DF,29,1991,1.97,0.1,-0.03,0.0,,-0.01,-0.05,,,,-0.08,-0.07,Tournament,2020,,,,,,
1156,Q. Yadav,Quewenia,DF,26,1995,2.91,0.1,0.38,0.09,0.0,0.36,0.02,0.04,,,-0.03,-0.03,Tournament,2020,,,,,,
1157,T. Candia,Quewenia,DF,29,1992,4.68,0.06,0.51,0.21,49.95,0.49,0.23,-0.04,-0.07,,-0.06,-0.07,Tournament,2020,,,,,,
1158,V. Athieno,Quewenia,DF,25,1996,1.23,-0.05,-0.08,0.04,,0.0,-0.04,,,,-0.03,-0.07,Tournament,2020,,,,,,
1159,W. Okeke,Quewenia,DF,26,1995,0.98,0.01,-0.04,0.06,,-0.09,0.02,,,,-0.01,0.05,Tournament,2020,,,,,,
1160,G. Were,Quewenia,FW,29,1992,4.99,0.25,2.94,0.73,28.52,2.79,0.87,0.09,0.24,,0.07,-0.05,Tournament,2020,,,,,,
1161,H. Kurnia,Quewenia,FW,31,1989,0.87,2.28,4.37,3.23,74.95,4.58,3.44,0.49,0.7,,0.05,-0.04,Tournament,2020,,,,,,
1162,U. Pichler,Quewenia,FW,24,1997,0.12,-0.06,-0.08,-0.05,,-0.01,-0.02,,,,-0.07,-0.01,Tournament,2020,,,,,,
1163,Z. Uy,Quewenia,FW,30,1991,0.71,0.06,2.46,1.18,50.09,2.46,1.25,-0.05,-0.04,,-0.08,-0.09,Tournament,2020,,,,,,
1164,M. Nakano,Quewenia,FWMF,24,1996,0.01,-0.03,-0.08,0.0,,0.06,0.01,,,,-0.01,-0.08,Tournament,2020,,,,,,
1165,R. Yiga,Quewenia,GK,32,1988,4.98,-0.01,0.09,0.08,,0.01,-0.02,,,,0.08,-0.07,Tournament,2020,,,,,,
1166,G. Odoch,Quewenia,MF,23,1998,1.39,-0.1,2.09,0.0,0.03,2.3,0.1,-0.07,,,0.03,0.07,Tournament,2020,,,,,,
1167,H. Adjei,Quewenia,MF,29,1992,2.81,0.75,0.69,0.61,100.03,0.65,0.75,1.07,0.98,,-0.05,-0.09,Tournament,2020,,,,,,
1168,K. Abalo,Quewenia,MF,29,1992,4.91,0.07,1.16,0.65,50.07,1.25,0.51,-0.09,0.02,,0.04,0.01,Tournament,2020,,,,,,
1169,M. Mathieu,Quewenia,MF,24,1997,2.78,-0.03,0.66,0.05,-0.02,0.71,0.08,-0.06,,,-0.01,0.03,Tournament,2020,,,,,,
1170,Q. Addo,Quewenia,MF,30,1991,1.78,0.07,1.11,1.21,100.07,1.09,1.21,-0.01,-0.06,,0.09,0.05,Tournament,2020,,,,,,
1171,Q. Nakityo,Quewenia,MF,30,1991,1.85,-0.08,1.59,1.0,66.62,1.55,1.03,-0.07,0.03,,0.06,-0.05,Tournament,2020,,,,,,
1172,Q. Ow,Quewenia,MF,24,1997,2.81,0.05,0.77,-0.02,-0.1,0.67,0.01,0.04,,,-0.04,0.07,Tournament,2020,,,,,,
1173,W. Rudenko,Quewenia,MF,24,1997,0.12,0.02,5.02,0.05,0.08,4.6,0.09,0.06,,,-0.02,-0.05,Tournament,2020,,,,,,
1174,J. Anguko,Quewenia,MFDF,30,1991,2.45,0.04,0.74,0.44,50.02,0.85,0.31,-0.09,-0.08,,0.06,-0.05,Tournament,2020,,,,,,
1175,A. Zimmermann,Redohrainbri,DF,29,1992,0.92,0.07,2.07,0.03,0.05,1.95,-0.09,0.07,,,-0.05,0.08,Tournament,2020,,,,,,
1176,C. Birungi,Redohrainbri,DF,24,1997,1.07,0.02,-0.03,0.04,,0.03,-0.04,,,,-0.06,-0.05,Tournament,2020,,,,,,
1177,C. Van den Berg *,Redohrainbri,DF,23,1997,0.81,0.04,-0.08,0.03,,0.06,0.07,,,,-0.07,-0.05,Tournament,2020,,,,,,
1178,C. Whang,Redohrainbri,DF,31,1990,2.01,-0.03,0.57,0.04,-0.07,0.41,-0.05,-0.08,,,0.06,0.04,Tournament,2020,,,,,,
1179,D. Anyango,Redohrainbri,DF,26,1994,2.14,0.04,1.0,0.01,-0.04,0.91,-0.04,-0.06,,,0.09,0.09,Tournament,2020,,,,,,
1180,D. Owen,Redohrainbri,DF,26,1995,0.13,-0.01,0.06,-0.07,,-0.04,0.03,,,,0.07,0.03,Tournament,2020,,,,,,
1181,F. Night,Redohrainbri,DF,23,1998,3.94,-0.04,0.03,0.03,,-0.06,0.09,,,,0.01,-0.06,Tournament,2020,,,,,,
1182,H. Aleper,Redohrainbri,DF,35,1986,1.1,-0.06,0.96,0.06,0.06,1.09,0.01,0.1,,,-0.1,-0.01,Tournament,2020,,,,,,
1183,J. Quinn,Redohrainbri,DF,32,1989,1.08,-0.03,0.07,-0.05,,-0.05,-0.08,,,,-0.01,0.04,Tournament,2020,,,,,,
1184,M. Namale,Redohrainbri,DF,30,1991,1.78,0.03,-0.07,0.01,,-0.05,-0.08,,,,0.05,0.05,Tournament,2020,,,,,,
1185,X. Ji,Redohrainbri,DF,30,1991,0.92,-0.09,0.99,1.01,99.96,1.04,0.97,0.07,-0.02,,0.07,0.01,Tournament,2020,,,,,,
1186,Z. Laine,Redohrainbri,DF,29,1991,3.62,-0.06,0.27,-0.05,0.04,0.33,-0.04,-0.01,,,0.1,0.09,Tournament,2020,,,,,,
1187,J. Suryani,Redohrainbri,DFFW,22,1999,0.03,-0.09,0.04,-0.05,,0.04,-0.01,,,,-0.05,0.06,Tournament,2020,,,,,,
1188,H. Xu,Redohrainbri,DFMF,30,1991,0.7,0.04,1.51,1.53,100.07,1.29,1.39,0.06,-0.06,,-0.05,-0.05,Tournament,2020,,,,,,
1189,K. Heikkinen,Redohrainbri,DFMF,27,1994,0.08,-0.04,-0.03,-0.09,,-0.09,0.0,,,,0.08,0.07,Tournament,2020,,,,,,
1190,W. Nassuna,Redohrainbri,DFMF,28,1993,0.38,0.01,0.05,-0.09,,-0.1,0.09,,,,-0.07,-0.03,Tournament,2020,,,,,,
1191,I. Mlambo,Redohrainbri,FW,29,1992,1.74,-0.04,0.48,0.5,100.0,0.66,0.53,-0.08,-0.02,,0.09,0.1,Tournament,2020,,,,,,
1192,Q. Oren,Redohrainbri,FW,25,1995,2.62,1.1,4.53,2.3,49.93,4.6,2.29,0.34,0.45,,-0.08,0.03,Tournament,2020,,,,,,
1193,R. Kadosh,Redohrainbri,FW,27,1994,0.92,-0.04,1.05,-0.01,0.04,0.99,-0.02,0.08,,,0.06,0.04,Tournament,2020,,,,,,
1194,W. binti Abdullah,Redohrainbri,FW,21,2000,0.82,0.1,3.37,2.23,66.6,3.17,2.06,-0.07,-0.08,,0.04,-0.02,Tournament,2020,,,,,,
1195,F. Yan,Redohrainbri,FWMF,21,2000,3.81,1.48,3.71,2.88,78.61,3.7,2.78,0.34,0.58,,-0.05,-0.03,Tournament,2020,,,,,,
1196,V. Atto,Redohrainbri,FWMF,21,2000,0.12,0.03,0.06,0.09,,-0.03,-0.06,,,,-0.02,-0.09,Tournament,2020,,,,,,
1197,H. Duval,Redohrainbri,GK,31,1989,0.93,0.03,-0.06,-0.06,,-0.07,-0.05,,,,-0.07,0.07,Tournament,2020,,,,,,
1198,P. Namulinda,Redohrainbri,GK,25,1996,0.99,-0.05,-0.04,-0.07,,-0.05,0.09,,,,0.09,0.06,Tournament,2020,,,,,,
1199,P. Wan,Redohrainbri,GK,37,1984,2.9,-0.02,0.03,-0.05,,0.06,0.03,,,,-0.06,0.1,Tournament,2020,,,,,,
1200,B. Žagar,Redohrainbri,MF,26,1995,0.66,0.02,1.37,0.03,0.0,1.36,-0.02,-0.03,,,0.06,0.07,Tournament,2020,,,,,,
1201,D. Sargsyan,Redohrainbri,MF,30,1991,1.6,-0.03,0.08,-0.07,,0.01,0.07,,,,-0.01,-0.01,Tournament,2020,,,,,,
1202,E. Fiore,Redohrainbri,MF,20,2001,0.12,0.01,0.06,0.01,,0.05,0.03,,,,-0.07,0.0,Tournament,2020,,,,,,
1203,H. David,Redohrainbri,MF,22,1998,1.55,0.04,0.62,0.66,99.97,0.61,0.54,0.02,0.04,,0.03,0.07,Tournament,2020,,,,,,
1204,H. Susanto,Redohrainbri,MF,23,1998,3.04,0.02,1.42,0.08,0.05,1.33,0.01,-0.01,,,-0.07,-0.03,Tournament,2020,,,,,,
1205,I. Ebong,Redohrainbri,MF,22,1999,0.36,0.03,-0.01,-0.02,,-0.04,-0.07,,,,-0.05,0.06,Tournament,2020,,,,,,
1206,I. Kolar,Redohrainbri,MF,25,1996,0.69,0.08,0.02,-0.02,,0.03,-0.03,,,,-0.02,0.04,Tournament,2020,,,,,,
1207,I. Zarei,Redohrainbri,MF,25,1996,3.52,-0.1,1.23,0.21,25.02,1.17,0.34,0.1,0.09,,-0.03,0.05,Tournament,2020,,,,,,
1208,O. Giuliani,Redohrainbri,MF,26,1995,0.98,0.03,0.04,0.06,,0.03,0.09,,,,-0.03,0.04,Tournament,2020,,,,,,
1209,O. Mugwagwa,Redohrainbri,MF,27,1994,1.0,1.08,1.09,1.14,99.93,1.17,1.15,0.91,0.92,,0.01,0.03,Tournament,2020,,,,,,
1210,Q. Katende,Redohrainbri,MF,29,1992,0.95,-0.02,-0.08,0.08,,-0.07,-0.07,,,,-0.05,0.05,Tournament,2020,,,,,,
1211,R. bin Omar,Redohrainbri,MF,29,1992,1.23,0.09,-0.05,0.09,,0.04,0.06,,,,-0.04,-0.04,Tournament,2020,,,,,,
1212,T. Abe,Redohrainbri,MF,28,1993,0.55,0.08,0.04,-0.06,,-0.06,0.0,,,,-0.08,0.06,Tournament,2020,,,,,,
1213,Z. Aryemo,Redohrainbri,MF,27,1994,2.87,0.31,2.39,1.43,57.15,2.47,1.34,0.1,0.3,,-0.08,-0.05,Tournament,2020,,,,,,
1214,H. Francisco,Rosvi,DF,35,1985,1.87,0.08,3.33,1.09,33.37,3.19,1.09,-0.08,0.1,,0.07,-0.02,Tournament,2020,,,,,,
1215,I. Gashi,Rosvi,DF,29,1991,1.07,0.05,0.01,-0.09,,0.09,-0.05,,,,0.07,0.01,Tournament,2020,,,,,,
1216,N. Ferhatovi?,Rosvi,DF,20,2001,2.79,0.02,0.68,0.06,0.0,0.72,-0.07,0.0,,,0.04,0.06,Tournament,2020,,,,,,
1217,U. Mayer,Rosvi,DF,24,1997,6.09,-0.09,0.41,0.08,0.06,0.6,0.1,0.05,,,-0.08,0.09,Tournament,2020,,,,,,
1218,W. Kaczmarek,Rosvi,DF,28,1993,1.97,-0.05,0.43,-0.03,-0.05,0.42,0.09,0.07,,,0.09,-0.01,Tournament,2020,,,,,,
1219,X. binti Awang,Rosvi,DF,31,1990,3.06,-0.09,0.38,0.06,-0.05,0.28,-0.09,0.01,,,0.02,0.07,Tournament,2020,,,,,,
1220,C. Alum,Rosvi,FW,29,1992,1.18,0.06,1.69,0.82,50.0,1.74,0.79,-0.05,0.09,,-0.02,-0.07,Tournament,2020,,,,,,
1221,E. Saka,Rosvi,FW,27,1994,3.97,0.47,1.97,1.65,87.47,1.99,1.73,0.1,0.18,,0.24,0.23,Tournament,2020,,,,,,
1222,F. Claes,Rosvi,FW,23,1997,2.93,0.68,2.77,1.99,75.09,2.7,1.96,0.24,0.41,,0.0,-0.05,Tournament,2020,,,,,,
1223,X. Abdulaziz,Rosvi,FW,30,1991,0.7,-0.04,3.32,-0.09,-0.01,3.5,0.03,0.03,,,0.02,-0.04,Tournament,2020,,,,,,
1224,Y. Akiror,Rosvi,FW,21,2000,1.26,0.77,7.66,2.33,30.0,7.88,2.41,0.0,0.31,,-0.08,-0.04,Tournament,2020,,,,,,
1225,K. Adero,Rosvi,GK,26,1995,2.98,0.02,-0.05,0.1,,0.02,0.04,,,,-0.1,-0.08,Tournament,2020,,,,,,
1226,M. Murmu,Rosvi,GK,29,1992,3.09,-0.05,0.01,0.1,,-0.02,0.1,,,,0.09,-0.07,Tournament,2020,,,,,,
1227,A. Davies,Rosvi,MF,31,1990,2.89,-0.01,0.01,-0.02,,0.04,-0.08,,,,-0.08,-0.03,Tournament,2020,,,,,,
1228,A. Nyasulu,Rosvi,MF,30,1991,0.45,0.09,-0.08,-0.04,,0.09,-0.04,,,,0.05,0.07,Tournament,2020,,,,,,
1229,B. Jalali,Rosvi,MF,26,1995,2.3,0.05,1.21,0.02,0.04,1.24,-0.04,-0.03,,,0.05,0.02,Tournament,2020,,,,,,
1230,B. Muhanguzi,Rosvi,MF,25,1996,0.32,0.09,3.36,3.27,99.9,3.18,3.14,0.02,0.01,,0.08,-0.02,Tournament,2020,,,,,,
1231,B. Putra,Rosvi,MF,26,1995,1.86,0.63,5.02,2.25,44.32,4.81,2.25,0.14,0.25,,0.1,0.04,Tournament,2020,,,,,,
1232,D. Roussel,Rosvi,MF,25,1996,2.59,0.02,2.06,0.0,-0.09,1.99,0.04,0.07,,,0.09,-0.07,Tournament,2020,,,,,,
1233,E. Shapiro,Rosvi,MF,30,1991,2.81,0.36,1.42,0.3,25.0,1.46,0.45,0.26,1.08,,-0.03,0.08,Tournament,2020,,,,,,
1234,F. Kaiser,Rosvi,MF,26,1995,0.03,0.05,0.07,-0.1,,0.02,0.06,,,,0.01,-0.09,Tournament,2020,,,,,,
1235,F. Schäfer,Rosvi,MF,25,1996,2.79,0.83,2.31,0.69,33.36,2.17,0.74,0.39,0.96,,0.02,0.02,Tournament,2020,,,,,,
1236,J. Namale,Rosvi,MF,29,1992,1.92,-0.02,0.94,-0.05,-0.02,1.05,0.09,-0.06,,,-0.08,-0.01,Tournament,2020,,,,,,
1237,M. Mizrahi,Rosvi,MF,26,1995,2.16,0.08,0.41,0.06,0.0,0.43,-0.08,-0.05,,,-0.08,0.01,Tournament,2020,,,,,,
1238,Q. Naturinda,Rosvi,MF,26,1995,3.77,0.05,0.36,-0.09,0.07,0.27,-0.07,0.06,,,0.02,0.04,Tournament,2020,,,,,,
1239,R. Ssentamu,Rosvi,MF,24,1997,-0.05,-0.05,-0.01,0.06,,-0.04,0.05,,,,-0.06,-0.07,Tournament,2020,,,,,,
1240,I. Carpentier,Rosvi,MFDF,29,1991,5.18,-0.08,0.49,0.29,66.79,0.65,0.35,0.0,0.04,,0.08,-0.01,Tournament,2020,,,,,,
1241,W. Ssegawa,Rosvi,MFFW,32,1988,3.98,0.06,1.01,0.3,24.97,1.07,0.33,0.02,-0.02,,0.03,0.07,Tournament,2020,,,,,,
1242,D. Giuliani,Saintu,DF,29,1992,0.22,0.02,0.08,-0.02,,0.0,-0.01,,,,0.08,-0.1,Tournament,2020,,,,,,
1243,I. Bianchi,Saintu,DF,26,1994,0.02,-0.07,0.05,-0.1,,-0.02,-0.07,,,,0.01,0.09,Tournament,2020,,,,,,
1244,K. Ariokot,Saintu,DF,28,1993,5.76,0.06,0.75,0.55,74.93,0.72,0.61,-0.08,0.02,,0.09,-0.08,Tournament,2020,,,,,,
1245,N. Nielsen,Saintu,DF,27,1994,5.97,0.07,0.92,0.02,-0.08,0.89,0.04,-0.03,,,-0.07,0.05,Tournament,2020,,,,,,
1246,T. Suleiman,Saintu,DF,26,1995,5.06,0.09,0.46,0.2,49.9,0.48,0.24,-0.07,-0.08,,-0.04,-0.1,Tournament,2020,,,,,,
1247,Z. Nanteza,Saintu,DF,32,1989,1.25,-0.09,0.09,0.05,,-0.04,0.06,,,,-0.08,0.07,Tournament,2020,,,,,,
1248,Z. Zhou,Saintu,DF,31,1990,5.99,-0.06,0.3,0.22,50.05,0.3,0.08,-0.1,-0.02,,-0.09,0.03,Tournament,2020,,,,,,
1249,M. Hahn,Saintu,FW,27,1994,2.49,0.0,1.24,-0.04,-0.09,1.31,-0.05,-0.06,,,-0.1,-0.04,Tournament,2020,,,,,,
1250,M. Martinez,Saintu,FW,27,1993,0.13,-0.09,0.03,-0.05,,-0.04,0.01,,,,0.06,-0.03,Tournament,2020,,,,,,
1251,A. Akware,Saintu,FWMF,29,1992,4.81,0.82,2.13,1.48,69.91,2.12,1.42,0.23,0.36,,0.52,0.36,Tournament,2020,,,,,,
1252,P. Mendoza,Saintu,FWMF,30,1991,0.87,-0.07,1.28,-0.05,0.09,1.27,-0.08,0.05,,,-0.01,-0.05,Tournament,2020,,,,,,
1253,G. Handayani,Saintu,GK,31,1990,1.1,-0.04,-0.09,-0.07,,-0.1,0.0,,,,-0.03,0.01,Tournament,2020,,,,,,
1254,S. Nuwagira,Saintu,GK,28,1993,5.07,-0.01,-0.05,-0.01,,0.0,0.09,,,,0.05,-0.05,Tournament,2020,,,,,,
1255,A. Suliman,Saintu,MF,31,1990,2.6,-0.02,0.74,0.31,49.91,0.84,0.34,0.01,0.07,,0.08,-0.05,Tournament,2020,,,,,,
1256,B. García,Saintu,MF,27,1993,2.04,0.04,1.82,0.42,24.92,1.88,0.56,0.07,-0.09,,-0.09,0.01,Tournament,2020,,,,,,
1257,B. Nhantumbo,Saintu,MF,31,1990,1.35,0.09,0.0,0.07,,0.09,0.06,,,,0.03,0.07,Tournament,2020,,,,,,
1258,C. More,Saintu,MF,30,1991,4.8,0.3,1.52,0.34,28.63,1.37,0.49,0.13,0.46,,0.08,-0.04,Tournament,2020,,,,,,
1259,E. Gou,Saintu,MF,27,1994,1.07,-0.01,1.06,1.05,100.08,1.09,1.09,-0.09,0.02,,0.08,-0.1,Tournament,2020,,,,,,
1260,E. Kirabira,Saintu,MF,27,1993,1.22,-0.03,-0.08,0.02,,-0.09,0.03,,,,-0.03,-0.07,Tournament,2020,,,,,,
1261,G. Bukenya,Saintu,MF,23,1998,0.19,0.07,-0.07,0.02,,-0.01,0.03,,,,0.01,-0.01,Tournament,2020,,,,,,
1262,I. Kaseke,Saintu,MF,25,1995,-0.05,0.01,1.09,1.06,100.09,22.53,22.42,0.05,0.04,,0.08,0.06,Tournament,2020,,,,,,
