,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Int,Tkl+Int,Clr,Err,League,Year
2988,F. Diaz,Southern Ristan,FW,Silver Heels,29,1990,20.26,0.69,0.54,0.02,0.33,0.36,-0.03,0.44,-0.05,0.31,11.82,2.79,23.77,0.72,6.4,4.77,0.84,0.3,0.09,0.61,0.17,0.89,1.74,0.09,A,2021
2989,X. Nakanwagi,Southern Ristan,FW,Silver Heels,26,1993,8.11,0.33,0.36,0.17,0.33,-0.07,0.16,1.04,22.17,0.78,13.58,2.56,19.34,0.98,6.74,5.79,1.23,0.18,0.09,1.17,0.29,0.65,0.63,0.17,A,2021
2990,W. Markovi?,Nancipenuaroe,FWMF,Silver Heels,28,1991,23.26,2.16,1.47,0.34,1.29,0.64,0.56,1.87,31.05,1.26,29.08,6.75,23.41,6.1,14.86,8.08,1.16,0.08,-0.1,1.26,1.18,3.38,0.54,-0.09,A,2021
2991,Q. Musimenta,Nganion,GK,Silver Heels,33,1987,37.03,-0.07,0.06,-0.01,-0.09,0.03,0.0,0.0,-0.04,0.08,0.16,0.0,25.01,0.13,-0.04,0.01,-0.1,0.04,0.08,0.05,-0.04,0.03,-0.06,-0.1,A,2021
2992,C. Leroy,People's Land of Maneau,GK,Silver Heels,27,1993,0.94,0.03,0.07,-0.06,0.01,0.08,0.06,0.02,,-0.04,0.08,-0.01,,0.04,-0.09,0.04,-0.02,0.1,-0.01,-0.01,0.01,-0.05,-0.01,-0.1,A,2021
2993,J. Agaba,Byasier Pujan,MF,Silver Heels,23,1996,20.19,1.58,1.08,0.78,0.71,0.23,0.62,1.88,35.01,1.24,14.78,4.22,28.6,5.56,7.32,1.64,2.25,0.35,-0.07,1.87,1.23,2.88,1.47,-0.1,A,2021
2994,E. Mutebi,Nancipenuaroe,MF,Silver Heels,27,1992,15.96,2.3,1.18,1.12,0.86,0.48,0.46,1.52,33.25,1.08,15.53,4.29,27.41,5.5,7.21,2.9,2.23,0.44,-0.04,1.76,1.39,3.64,0.87,-0.04,A,2021
2995,V. Mahagna,Ngoque Blicri,MF,Silver Heels,32,1987,16.24,3.51,1.64,1.81,1.3,0.38,1.02,2.66,40.04,1.62,23.28,6.25,27.08,9.76,11.15,2.33,2.41,0.27,-0.06,2.15,1.37,4.93,1.59,-0.06,A,2021
2996,J. Mukalazi,People's Land of Maneau,MF,Silver Heels,22,1998,28.38,1.4,0.81,0.54,0.4,0.21,0.4,1.23,38.85,0.7,11.11,3.15,28.53,3.13,5.67,2.38,1.19,0.17,0.1,1.09,1.11,2.46,0.16,0.03,A,2021
2997,A. Nyasulu,Rosvi,MF,Silver Heels,29,1991,26.22,2.55,1.59,0.99,1.26,0.25,1.3,3.18,39.59,1.85,17.79,5.07,29.17,7.54,8.34,1.68,1.83,0.25,-0.05,1.5,1.69,4.23,1.86,0.01,A,2021
2998,I. Joseph,Southslands,MF,Silver Heels,29,1990,9.08,1.92,0.89,1.33,0.72,0.05,1.19,2.73,40.05,1.67,19.97,4.61,23.27,9.47,9.03,1.47,2.24,0.81,0.04,1.38,0.97,2.93,1.37,0.01,A,2021
2999,A. Bruno,People's Land of Maneau,MFFW,Silver Heels,29,1991,25.06,2.66,1.4,1.5,0.86,0.35,1.13,3.73,28.39,2.7,21.24,5.34,25.15,9.56,8.03,3.54,2.4,0.06,-0.05,2.28,1.86,4.66,0.4,-0.01,A,2021
3000,A. Nakiranda,Dosqaly,DF,Solemn Cougars,19,2000,25.06,2.6,1.72,1.52,0.88,-0.05,0.7,1.34,51.48,0.74,9.87,3.32,33.54,5.6,4.04,0.42,1.9,0.85,0.1,1.04,2.12,4.6,4.9,-0.09,A,2021
3001,Q. Sam,Giumle Lizeibon,DF,Solemn Cougars,34,1986,7.73,1.99,1.1,1.74,0.14,0.19,0.59,1.85,35.69,1.18,11.1,2.97,26.35,6.72,3.48,0.87,2.06,0.44,0.13,1.49,1.59,3.52,3.89,0.05,A,2021
3002,S. Kasamba,Greri Landmoslands,DF,Solemn Cougars,26,1993,10.72,3.38,1.67,1.78,1.29,0.43,1.17,2.82,38.66,1.8,18.85,6.37,34.32,8.03,7.07,3.7,2.62,-0.01,0.05,2.56,1.57,4.99,2.38,-0.07,A,2021
3003,R. Navarro,Highhlaands,DF,Solemn Cougars,32,1988,27.59,0.73,0.53,0.69,0.21,0.08,0.45,0.83,47.54,0.42,6.13,2.48,39.38,4.15,1.85,0.11,1.08,0.23,0.05,0.71,1.45,2.17,5.27,-0.08,A,2021
3004,T. Nagujja,Nancipenuaroe,DF,Solemn Cougars,25,1994,8.0,1.5,0.74,0.79,0.33,0.3,0.96,1.4,58.23,0.7,7.77,3.05,38.63,4.61,2.79,0.42,2.39,0.57,0.16,1.76,1.4,3.0,5.31,0.06,A,2021
3005,F. Omara,People's Land of Maneau,DF,Solemn Cougars,19,2001,10.85,2.13,0.67,0.96,0.45,0.79,0.52,1.29,46.29,0.62,17.99,5.52,30.38,7.02,7.36,3.67,2.68,0.18,-0.09,2.23,1.54,3.56,2.35,0.04,A,2021
3006,Y. Deng,People's Land of Maneau,DF,Solemn Cougars,22,1998,23.1,2.7,1.14,1.86,0.73,0.19,0.77,1.8,39.59,1.21,15.17,4.75,31.72,8.0,4.64,2.55,2.44,0.54,-0.06,1.91,1.18,3.87,2.79,-0.02,A,2021
3007,A. Acheng,Southern Ristan,DF,Solemn Cougars,24,1995,26.04,2.32,1.3,1.23,0.79,0.18,0.77,1.65,45.42,0.83,13.48,3.76,28.51,5.57,4.88,2.78,2.11,0.19,-0.06,1.8,0.86,3.04,2.54,0.0,A,2021
3008,D. Tawiah,Thaijagypt,DF,Solemn Cougars,36,1984,0.25,-0.04,-0.09,0.01,-0.02,-0.05,-0.04,0.07,,0.04,0.09,-0.05,,-0.06,-0.07,-0.07,0.06,-0.07,-0.08,-0.06,0.1,0.0,4.91,-0.07,A,2021
3009,M. Happy,Varijitri Isles,DF,Solemn Cougars,24,1996,20.28,1.53,0.81,0.76,0.89,0.03,0.45,1.54,32.38,1.09,8.32,2.68,33.11,4.64,3.23,0.46,1.08,0.52,0.04,0.55,1.25,2.87,5.44,0.11,A,2021
3010,C. Mwesige,People's Land of Maneau,DFFW,Solemn Cougars,30,1989,19.36,2.28,1.59,0.75,0.88,0.47,1.06,2.89,36.33,1.84,17.45,6.6,37.95,5.71,7.46,4.38,1.64,0.16,0.04,1.55,1.43,3.62,1.29,-0.03,A,2021
3011,L. Musoki,People's Land of Maneau,FW,Solemn Cougars,33,1987,31.51,0.55,0.35,0.15,0.21,0.18,0.05,0.55,20.03,0.47,9.38,2.51,26.8,0.4,3.32,5.73,0.44,0.13,0.05,0.35,0.26,0.81,0.83,0.03,A,2021
3012,V. Mudondo,People's Land of Maneau,FW,Solemn Cougars,24,1996,0.14,10.08,5.06,9.92,0.05,0.05,-0.04,-0.04,,0.0,14.93,4.99,33.22,10.06,0.07,5.08,0.02,-0.02,-0.09,0.05,0.03,10.02,0.02,0.07,A,2021
3013,H. Mubaiwa,Rarita,FW,Solemn Cougars,32,1988,0.16,0.01,0.0,0.06,0.09,0.09,0.08,0.09,,-0.05,24.95,10.05,40.02,-0.01,14.91,10.09,-0.05,0.0,0.0,-0.01,0.08,-0.1,-0.07,0.07,A,2021
3014,I. Nyamande,Republic of Denand Landsa,FW,Solemn Cougars,23,1996,16.15,0.83,0.6,0.19,0.41,0.25,0.22,0.84,20.03,0.71,14.99,3.32,22.16,1.18,7.88,6.09,1.23,0.13,0.05,0.99,0.22,0.89,0.05,0.03,A,2021
3015,X. Joly,People's Land of Maneau,FWMF,Solemn Cougars,22,1997,21.65,1.07,0.66,0.5,0.23,0.32,0.23,0.85,21.05,0.62,10.59,3.23,30.49,2.84,4.29,3.56,1.05,0.17,-0.04,0.98,0.7,1.69,0.63,-0.09,A,2021
3016,S. Zandamela,Mico,GK,Solemn Cougars,33,1986,37.98,-0.02,-0.1,0.02,-0.05,0.06,-0.01,-0.09,,0.0,0.05,-0.09,0.04,0.22,0.0,0.04,0.04,-0.09,-0.1,-0.08,0.01,-0.03,-0.06,0.06,A,2021
3017,R. Schubert,Buhegeor,MF,Solemn Cougars,20,1999,0.16,9.91,0.06,0.09,9.92,0.0,9.99,10.05,99.98,0.0,40.09,0.1,-0.05,-0.05,20.04,20.05,0.02,0.07,0.06,0.06,0.01,10.05,0.04,0.05,A,2021
3018,O. Nabirye,Coastpa Barleslands,MF,Solemn Cougars,28,1992,16.28,2.23,1.41,1.18,0.79,0.15,0.46,1.0,41.25,0.66,16.54,5.27,31.52,6.51,7.56,2.35,1.52,0.14,-0.06,1.31,0.55,2.82,0.7,0.03,A,2021
3019,Q. Annan,Greri Landmoslands,MF,Solemn Cougars,18,2001,0.92,0.01,-0.09,0.07,0.05,0.02,-0.06,0.06,,-0.06,21.12,7.83,36.73,8.84,9.99,2.27,1.21,1.09,-0.08,0.0,1.2,1.03,-0.02,0.09,A,2021
3020,T. bin Mohamed,People's Land of Maneau,MF,Solemn Cougars,22,1997,3.49,3.2,2.0,1.4,1.67,-0.1,0.61,2.87,19.93,2.26,15.1,5.08,33.97,5.07,8.85,1.08,2.61,0.61,0.08,2.09,1.45,4.63,1.7,0.23,A,2021
3021,H. Leong,Southern Ristan,MF,Solemn Cougars,23,1997,37.31,2.02,1.48,0.8,0.84,0.35,0.76,2.49,28.44,1.87,13.53,4.88,36.06,4.28,6.5,2.58,1.57,0.34,-0.09,1.26,0.97,2.95,0.78,0.07,A,2021
3022,C. Kawooya,Republic of Denand Landsa,MFDF,Solemn Cougars,23,1996,24.13,4.55,2.97,2.17,2.04,0.32,1.16,3.17,39.97,1.96,20.15,7.6,37.3,8.24,10.12,1.98,2.73,0.46,-0.04,2.18,2.46,7.11,3.1,-0.08,A,2021
3023,F. Mtambo,Nganion,MFFW,Solemn Cougars,27,1993,14.84,2.13,0.94,0.46,1.25,0.36,0.65,2.73,22.54,2.17,23.19,6.17,26.52,4.37,11.78,6.94,2.07,0.08,0.09,2.02,1.21,3.44,0.5,0.1,A,2021
3024,W. Török,People's Land of Maneau,MFFW,Solemn Cougars,23,1996,23.3,1.66,1.2,0.23,0.82,0.58,0.34,1.24,32.1,0.74,14.76,4.09,27.21,2.44,7.58,4.81,0.49,0.12,-0.09,0.45,0.38,2.14,0.23,0.09,A,2021
3025,X. Boateng,Southern Ristan,MFFW,Solemn Cougars,26,1994,8.06,1.44,0.88,0.68,0.73,0.05,0.8,1.8,42.81,0.98,16.46,3.95,24.12,4.55,8.09,4.03,1.84,0.17,0.05,1.59,1.03,2.55,0.45,0.08,A,2021
3026,Q. Higenyi,Varijitri Isles,MFFW,Solemn Cougars,23,1997,3.13,0.87,1.01,-0.04,0.65,0.4,0.38,1.52,20.03,1.32,14.11,4.8,34.15,3.54,5.88,4.77,1.69,-0.01,0.02,1.54,0.94,1.89,0.07,-0.06,A,2021
3027,O. binti Mohamad,Djipines,DF,Somber Bombers,28,1991,13.93,1.49,0.74,0.87,0.46,0.05,0.65,1.45,50.03,0.71,8.61,2.08,23.49,5.84,2.37,0.37,2.18,0.77,-0.04,1.49,1.29,2.7,6.91,0.11,A,2021
3028,P. Ferri,Highhlaands,DF,Somber Bombers,22,1998,20.38,2.42,1.37,1.7,0.7,0.06,1.05,1.98,51.17,1.01,16.5,3.94,24.15,8.77,6.08,1.62,1.77,0.32,0.08,1.36,0.9,3.52,1.76,0.1,A,2021
3029,Y. Phe,Imaar Vircoand,DF,Somber Bombers,31,1989,23.08,1.46,0.69,1.21,0.32,0.12,0.63,1.1,56.08,0.57,7.98,2.19,27.98,5.63,1.99,0.27,2.12,1.32,-0.1,0.81,0.65,2.34,7.26,0.02,A,2021
3030,V. Abiria,Nganion,DF,Somber Bombers,26,1994,9.16,2.86,1.51,1.08,1.6,0.34,1.0,1.67,60.06,0.66,13.49,3.63,26.77,4.7,5.06,3.65,1.88,0.19,-0.01,1.66,0.85,3.9,2.35,-0.01,A,2021
3031,X. Heikkilä,People's Land of Maneau,DF,Somber Bombers,26,1993,18.06,1.13,0.57,0.7,0.37,0.09,0.22,0.27,66.77,0.17,8.12,3.02,35.88,4.95,2.87,0.46,2.18,0.96,0.18,1.2,0.74,1.93,6.01,0.11,A,2021
3032,M. Nabukwasi,Quewenia,DF,Somber Bombers,28,1991,13.77,1.41,0.66,0.98,0.28,-0.01,0.56,1.59,31.74,1.17,7.94,2.39,29.94,4.62,2.93,0.24,1.79,0.93,-0.06,0.71,1.65,2.98,4.61,0.03,A,2021
3033,I. Amoah,Slandsganiamayotteque,DF,Somber Bombers,27,1993,4.73,2.06,1.16,2.09,-0.03,-0.04,0.74,2.45,33.3,1.64,13.44,4.16,30.86,7.75,3.56,2.37,1.83,0.23,0.08,1.64,0.59,2.81,3.93,0.09,A,2021
3034,F. Kollár,Southslands,DF,Somber Bombers,30,1989,20.99,1.24,0.59,0.95,0.38,0.09,0.12,0.58,29.9,0.42,7.44,2.24,31.32,4.83,2.07,0.62,2.07,0.9,-0.06,1.26,1.29,2.5,6.42,0.14,A,2021
3035,V. Lao,Xikong,DF,Somber Bombers,25,1994,14.37,1.65,1.17,0.91,0.52,-0.03,0.8,1.8,39.98,1.14,11.75,3.59,30.9,6.43,4.02,1.37,2.34,0.77,0.05,1.56,1.46,3.13,3.95,0.0,A,2021
3036,K. Najjuma,Ngoque Blicri,DFMF,Somber Bombers,30,1989,15.07,1.04,0.68,0.51,0.39,0.23,0.38,1.3,23.83,1.07,10.08,2.07,21.13,4.76,3.46,1.78,2.06,0.15,0.07,1.86,1.54,2.68,2.8,-0.06,A,2021
3037,S. Mbewe,People's Land of Maneau,DFMF,Somber Bombers,25,1995,18.14,2.65,1.94,1.83,0.81,0.08,1.62,3.05,53.66,1.44,19.48,5.25,27.01,9.9,6.31,3.11,2.25,0.32,0.09,1.96,1.01,3.87,1.87,-0.07,A,2021
3038,B. Maturu,People's Land of Maneau,FW,Somber Bombers,28,1992,23.21,0.65,0.51,0.16,0.23,0.3,0.06,0.49,24.92,0.32,14.47,3.85,26.93,1.33,5.98,7.12,0.81,0.15,0.08,0.74,0.09,0.6,0.49,0.0,A,2021
3039,D. Athieno,People's Land of Maneau,FW,Somber Bombers,31,1989,4.42,0.35,0.2,0.18,-0.02,0.23,-0.08,1.37,0.05,1.27,13.68,3.22,23.22,1.59,7.05,4.91,0.5,-0.09,0.07,0.5,0.32,0.58,2.49,0.03,A,2021
3040,H. Mafabi,Dosqaly,FWMF,Somber Bombers,23,1997,17.34,0.9,0.72,0.27,0.45,0.13,0.06,0.38,12.59,0.35,12.25,2.93,24.7,2.22,6.75,3.37,0.71,0.1,-0.06,0.68,0.42,1.32,0.06,-0.07,A,2021
3041,R. De Wit,Lefghau,FWMF,Somber Bombers,23,1996,22.05,1.98,1.12,0.46,1.32,0.29,0.55,1.71,34.11,1.19,17.98,4.34,24.41,3.9,8.99,4.88,1.67,0.16,-0.1,1.46,0.91,2.85,0.96,0.09,A,2021
3042,D. Masereka,Ngoque Blicri,FWMF,Somber Bombers,26,1994,10.27,0.33,0.06,0.34,0.06,-0.03,-0.03,0.17,0.03,0.29,11.16,1.87,16.64,1.7,4.91,4.29,0.85,-0.09,0.09,0.74,0.23,0.65,0.3,0.07,A,2021
3043,R. Wambi,People's Land of Maneau,FWMF,Somber Bombers,29,1990,5.77,0.97,0.69,0.28,0.79,0.04,0.14,0.86,20.1,0.6,15.86,3.87,24.34,2.26,6.25,7.22,0.5,0.26,-0.09,0.16,0.08,1.18,0.09,0.06,A,2021
3044,M. Janssens,Ledian,GK,Somber Bombers,31,1989,12.95,0.06,-0.09,-0.07,-0.07,0.06,0.05,-0.07,,-0.04,0.15,0.17,99.92,0.24,-0.05,-0.04,0.07,-0.03,-0.08,0.05,-0.09,-0.07,0.08,0.04,A,2021
3045,P. Johansson,People's Land of Maneau,GK,Somber Bombers,29,1990,25.04,0.04,0.07,0.06,0.01,0.03,-0.04,0.08,-0.04,0.03,0.04,-0.01,0.01,0.15,0.0,0.05,-0.03,-0.09,0.07,0.0,0.11,0.07,0.01,0.02,A,2021
3046,N. Koz?owski,Ngoque Blicri,MF,Somber Bombers,17,2002,-0.07,-0.07,0.02,-0.07,0.01,-0.08,-0.02,-0.08,,0.03,3.04,0.96,33.37,0.0,3.0,-0.02,0.04,0.09,0.05,0.01,-0.08,-0.08,-0.01,0.03,A,2021
3047,A. Nassanga,People's Land of Maneau,MF,Somber Bombers,28,1992,29.03,1.56,0.92,0.91,0.67,0.09,0.35,1.69,23.45,1.3,13.21,2.53,19.63,5.74,5.8,1.76,1.26,0.34,0.08,0.78,1.51,3.08,2.4,-0.05,A,2021
3048,M. Ferrara,People's Land of Maneau,MF,Somber Bombers,22,1997,15.62,2.21,1.27,1.09,1.09,0.17,1.38,3.77,35.01,2.41,25.34,6.24,24.85,10.76,11.78,2.9,1.82,0.26,-0.02,1.56,1.2,3.41,1.41,0.1,A,2021
3049,Y. Ferrara,People's Land of Maneau,MF,Somber Bombers,20,1999,10.86,3.19,2.37,1.9,0.94,0.33,1.02,4.42,22.87,3.48,30.43,5.55,18.07,12.95,11.87,5.61,2.65,0.5,-0.05,2.22,2.89,6.04,1.28,0.05,A,2021
3050,Z. Yosef,People's Land of Maneau,MF,Somber Bombers,20,2000,4.28,0.88,0.77,0.85,0.04,-0.02,0.58,1.4,33.29,1.04,23.21,6.04,25.45,7.06,13.73,2.29,2.04,0.06,0.1,2.16,1.47,2.48,0.65,0.04,A,2021
3051,T. Achan,Southslands,MF,Somber Bombers,28,1992,15.87,0.42,0.26,0.27,0.22,0.09,0.05,0.97,14.32,0.75,10.94,3.1,27.61,2.68,6.64,1.87,1.46,0.53,0.09,1.01,0.83,1.22,1.85,0.07,A,2021
3052,C. K?avi?š,People's Land of Maneau,MFDF,Somber Bombers,25,1995,21.52,2.28,1.57,0.63,1.22,0.34,0.31,1.26,25.88,0.95,18.89,4.58,24.74,7.23,9.02,2.55,1.99,0.39,-0.09,1.54,2.12,4.52,2.66,0.15,A,2021
3053,J. P?tersons,Danan Seekeeling,MFFW,Somber Bombers,26,1994,26.99,1.83,1.1,0.77,0.82,0.06,0.62,2.07,28.55,1.44,18.73,4.32,22.48,6.35,7.88,4.62,1.23,0.11,0.03,1.13,1.05,2.72,0.95,0.12,A,2021
3054,O. Mägi,Central Diasongo,DF,Stacked Rocks,27,1992,17.71,4.03,2.09,2.53,1.32,0.34,1.17,2.78,41.12,1.63,21.65,6.28,29.18,11.78,7.04,2.73,2.33,0.27,0.06,2.13,1.29,5.54,2.87,0.07,A,2021
3055,C. Magombo,Djipines,DF,Stacked Rocks,22,1997,8.04,1.79,1.16,1.57,0.32,0.01,0.51,0.58,79.93,0.2,9.7,2.38,25.53,6.88,2.37,0.34,1.86,1.11,-0.02,0.78,1.58,3.53,6.29,0.1,A,2021
3056,M. Tang,Djipines,DF,Stacked Rocks,27,1993,15.06,1.77,0.79,0.87,0.62,0.36,0.72,1.88,34.44,1.33,12.29,2.86,22.87,6.03,4.26,1.88,1.62,0.26,-0.09,1.32,0.86,2.68,4.76,0.01,A,2021
3057,K. Mpofu,Nganion,DF,Stacked Rocks,23,1996,24.85,1.99,1.04,1.17,0.49,0.3,0.75,1.69,41.95,1.01,15.67,4.46,28.96,7.13,5.72,2.76,2.12,0.3,-0.08,1.9,1.44,3.37,2.61,0.02,A,2021
3058,A. Janssen,People's Land of Maneau,DF,Stacked Rocks,21,1999,5.44,0.68,0.73,0.79,-0.09,-0.07,0.22,0.58,33.33,0.37,14.12,4.15,28.9,7.45,4.4,2.14,1.71,0.7,-0.07,0.87,0.28,1.02,3.49,-0.04,A,2021
3059,D. Nishimura,People's Land of Maneau,DF,Stacked Rocks,26,1994,28.04,0.88,0.45,0.4,0.28,-0.06,0.5,0.69,54.54,0.36,6.02,1.7,28.97,3.71,1.8,0.26,1.77,1.24,0.04,0.59,0.88,1.65,6.11,0.06,A,2021
3060,E. Koç,Rarita,DF,Stacked Rocks,28,1992,13.72,1.64,0.59,0.71,0.67,0.31,0.78,2.47,32.44,1.62,13.45,2.7,20.33,5.85,5.13,2.66,2.9,0.37,0.09,2.67,1.32,2.96,3.84,0.04,A,2021
3061,W. Karlsson,Southern Ristan,DF,Stacked Rocks,31,1989,24.8,1.63,0.74,1.0,0.67,0.09,0.66,1.01,55.61,0.48,8.15,2.93,36.58,5.23,2.76,0.03,2.13,1.36,0.07,0.8,0.54,2.17,6.49,0.01,A,2021
3062,C. Bai,Western Niasland,DF,Stacked Rocks,24,1996,16.5,2.37,1.54,1.8,0.62,-0.05,1.06,1.87,63.22,0.74,9.37,2.89,31.54,6.22,2.63,0.46,1.09,0.73,0.09,0.36,0.81,3.26,7.53,0.02,A,2021
3063,Q. Ariko,Djipines,FW,Stacked Rocks,31,1989,10.18,1.3,0.97,0.31,0.52,0.36,0.32,1.29,30.81,0.85,12.24,3.32,27.16,2.72,5.37,4.27,1.58,0.25,0.07,1.31,0.8,2.28,1.71,-0.04,A,2021
3064,C. Kadosh,Landli Blicporlip,FW,Stacked Rocks,28,1992,34.53,0.86,0.43,0.23,0.4,0.15,0.41,2.1,18.29,1.6,17.84,4.01,22.85,3.38,9.27,5.22,1.05,0.14,-0.02,0.86,0.76,1.57,0.2,0.0,A,2021
3065,P. Musiime,Lefghau,FW,Stacked Rocks,25,1995,3.4,0.27,0.02,0.3,0.03,-0.03,0.36,0.29,100.04,-0.04,14.99,4.22,27.42,1.23,6.13,7.74,0.66,-0.05,-0.07,0.61,0.25,0.65,1.54,0.1,A,2021
3066,J. Hakim,People's Land of Maneau,FW,Stacked Rocks,16,2004,0.09,0.03,-0.02,0.02,0.08,-0.04,-0.08,0.02,,-0.05,0.93,1.0,99.9,0.08,1.05,-0.04,-0.04,-0.02,0.09,0.05,0.0,-0.09,-0.07,-0.05,A,2021
3067,Z. binti Zakaria,People's Land of Maneau,FW,Stacked Rocks,27,1993,34.17,0.54,0.36,0.04,0.41,0.09,0.07,0.49,24.99,0.53,11.38,2.9,25.3,0.55,5.47,5.3,0.9,0.33,0.11,0.58,0.48,0.99,1.17,0.07,A,2021
3068,L. Kyalisiima,Byasier Pujan,FWMF,Stacked Rocks,22,1997,13.49,1.17,0.81,0.46,0.21,0.49,0.49,1.78,25.03,1.35,17.96,4.74,26.01,4.5,7.0,6.55,0.71,0.14,-0.07,0.58,0.83,2.14,0.28,-0.08,A,2021
3069,D. Namugerwa,Imaar Vircoand,FWMF,Stacked Rocks,28,1992,8.09,2.19,1.43,0.05,1.6,0.48,0.47,1.43,33.29,1.05,22.9,6.22,26.82,3.83,12.79,6.21,0.91,0.17,-0.03,0.87,0.55,2.8,0.11,-0.04,A,2021
3070,C. Guerrero,Lefghau,FWMF,Stacked Rocks,27,1992,15.72,2.1,1.31,0.72,1.3,0.29,0.51,1.86,30.0,1.36,17.02,4.19,24.14,4.31,8.25,4.48,1.24,0.09,0.03,1.06,1.29,3.46,0.72,-0.03,A,2021
3071,W. Nasiru,Rarita,GK,Stacked Rocks,33,1986,38.0,0.03,-0.01,0.09,0.0,0.03,-0.08,-0.03,0.06,0.07,-0.05,-0.09,0.07,0.04,0.0,0.0,0.01,-0.01,-0.1,-0.08,0.02,-0.05,0.01,0.09,A,2021
3072,G. Magnusson,Dosqaly,MF,Stacked Rocks,23,1996,23.13,2.17,1.29,0.54,1.02,0.48,0.37,1.84,25.62,1.41,19.5,6.62,33.43,5.76,10.24,3.45,1.47,0.18,-0.05,1.4,1.3,3.44,0.84,-0.06,A,2021
3073,H. Cardoso,Dosqaly,MF,Stacked Rocks,30,1989,17.52,1.41,1.04,1.26,0.08,0.0,0.38,1.21,33.36,0.76,13.63,4.16,30.96,7.7,4.77,1.35,1.55,0.28,-0.09,1.16,1.0,2.29,1.88,0.02,A,2021
3074,H. Ruiz,Imaar Vircoand,MF,Stacked Rocks,24,1996,10.42,3.1,2.25,1.57,1.1,0.64,0.94,2.88,32.23,2.02,27.66,8.76,31.39,8.95,14.19,4.52,1.02,0.04,-0.09,1.02,0.82,3.94,0.9,-0.09,A,2021
3075,A. Kiss,Mico,MF,Stacked Rocks,24,1995,37.97,3.08,2.21,1.49,1.26,0.38,1.53,3.64,43.97,2.15,21.18,6.04,28.74,8.51,10.38,2.32,1.52,0.35,0.01,1.35,1.23,4.44,2.09,0.0,A,2021
3076,I. Nayak,People's Land of Maneau,MF,Stacked Rocks,24,1996,9.55,2.59,1.44,1.53,0.87,0.03,0.89,2.21,40.96,1.38,16.77,5.41,32.31,7.31,7.77,1.7,1.15,0.39,0.01,0.84,1.67,4.07,1.21,0.07,A,2021
3077,V. Álvarez,Rarita,MF,Stacked Rocks,24,1996,6.91,2.91,2.18,1.28,1.08,0.48,0.81,2.38,35.37,1.54,31.55,8.46,26.54,6.32,14.11,11.02,1.92,0.2,0.07,1.7,1.45,4.35,0.58,-0.06,A,2021
3078,J. Tse,Dosqaly,DF,Swift Musketeers,18,2001,0.04,-0.07,0.0,0.07,0.04,-0.05,0.01,0.01,,-0.1,10.07,0.08,-0.08,10.06,0.07,0.04,0.1,0.05,0.08,0.01,-0.08,0.03,0.01,-0.09,A,2021
3079,W. Twinamatsiko,Mico,DF,Swift Musketeers,27,1992,28.62,2.16,1.3,1.49,0.6,0.09,1.09,1.94,57.35,0.77,7.6,3.1,40.07,5.03,2.23,0.29,1.36,0.57,-0.09,0.64,1.28,3.48,5.62,0.02,A,2021
3080,K. Ferrari,Nancipenuaroe,DF,Swift Musketeers,21,1999,9.4,3.49,2.07,2.25,0.91,0.12,1.41,2.96,48.19,1.45,15.93,6.48,40.83,8.05,6.79,1.26,2.69,0.54,-0.07,2.16,2.86,6.26,3.98,-0.04,A,2021
3081,D. Shahar,Nkasland Cronestan,DF,Swift Musketeers,24,1996,34.39,1.36,0.87,0.97,0.46,-0.03,0.7,1.58,43.49,0.81,8.22,2.81,33.45,4.85,2.94,0.4,1.65,0.82,0.08,0.87,2.19,3.6,6.18,0.03,A,2021
3082,F. Fujihara,People's Land of Maneau,DF,Swift Musketeers,23,1997,29.32,2.83,1.52,1.88,0.82,0.15,0.85,1.92,45.55,0.95,14.37,4.25,29.98,7.51,5.45,1.5,2.47,0.47,0.09,1.81,1.38,4.25,2.33,-0.05,A,2021
3083,J. Ssempijja,People's Land of Maneau,DF,Swift Musketeers,26,1994,17.12,2.23,1.08,1.36,0.79,0.08,0.94,2.31,44.66,1.22,9.81,3.32,34.26,5.53,3.84,0.44,2.46,0.82,0.08,1.63,1.45,3.64,5.0,0.0,A,2021
3084,P. Byamukama,People's Land of Maneau,DF,Swift Musketeers,30,1989,28.88,2.46,1.47,0.98,1.21,0.26,0.96,1.68,58.32,0.59,11.09,4.22,38.78,4.27,5.03,1.7,1.59,0.22,0.04,1.49,1.03,3.51,1.91,-0.01,A,2021
3085,Q. Tiko,People's Land of Maneau,DF,Swift Musketeers,20,2000,0.78,0.03,0.04,0.03,0.07,-0.08,0.07,1.51,0.05,1.37,14.37,2.85,19.9,8.61,5.74,0.04,-0.05,-0.07,0.03,-0.08,0.08,-0.03,1.36,0.02,A,2021
3086,W. Alves,People's Land of Maneau,DF,Swift Musketeers,19,2000,1.05,5.0,3.05,3.91,1.03,-0.05,3.09,2.98,100.08,0.07,7.98,4.98,62.54,7.03,1.0,-0.04,0.97,1.06,-0.02,0.01,0.9,6.01,4.03,0.07,A,2021
