,Player,Nation,FW,MF,DF,GK,Age,Born,90s,Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Performance PK,Performance PKatt,League,Year,Standard FK,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
1059,f.nyakaisiki,Nkasland Cronestan,1,0,0,0,27,1994,2.05,0.09,1.51,0.38,33.33,1.45,0.44,0.04,-0.04,,0.04,-0.05,Tournament,2020,,,,,,
1060,q.virtanen,Nkasland Cronestan,1,0,0,0,26,1995,1.56,-0.04,2.65,0.74,25.06,2.77,0.57,0.04,0.05,,-0.02,0.04,Tournament,2020,,,,,,
1061,s.ylmaz,Nkasland Cronestan,1,0,0,0,33,1988,2.92,0.74,3.23,1.01,30.07,3.39,1.07,0.1,0.65,,0.03,0.02,Tournament,2020,,,,,,
1062,j.vasquez,Nkasland Cronestan,0,0,0,1,31,1990,2.93,-0.01,0.06,-0.1,,-0.04,0.05,,,,0.06,-0.01,Tournament,2020,,,,,,
1063,s.kiconco,Nkasland Cronestan,0,0,0,1,36,1985,2.99,0.08,0.09,0.03,,-0.08,-0.04,,,,-0.08,0.02,Tournament,2020,,,,,,
1064,d.kikuchi,Nkasland Cronestan,0,1,0,0,22,1999,1.84,0.0,0.58,0.52,100.03,0.56,0.56,-0.07,0.03,,-0.07,0.03,Tournament,2020,,,,,,
1065,h.nuwahereza,Nkasland Cronestan,0,1,0,0,33,1988,2.9,0.43,2.77,1.41,50.0,2.84,1.41,0.21,0.3,,0.04,-0.07,Tournament,2020,,,,,,
1066,k.abaho,Nkasland Cronestan,0,1,0,0,22,1999,2.35,0.03,-0.06,-0.07,,0.05,-0.09,,,,-0.08,-0.01,Tournament,2020,,,,,,
1067,o.kraus,Nkasland Cronestan,0,1,0,0,31,1990,3.66,0.03,0.2,0.31,99.94,0.34,0.33,0.05,-0.04,,0.09,0.09,Tournament,2020,,,,,,
1068,q.liang,Nkasland Cronestan,0,1,0,0,27,1994,3.02,-0.01,0.24,0.4,99.95,0.42,0.32,0.08,-0.08,,-0.01,-0.04,Tournament,2020,,,,,,
1069,s.ayuba,Nkasland Cronestan,0,1,0,0,23,1998,4.92,0.13,0.74,0.48,49.91,0.71,0.36,0.24,0.54,,-0.03,-0.01,Tournament,2020,,,,,,
1070,s.greco,Nkasland Cronestan,0,1,0,0,23,1998,0.8,0.08,5.01,1.25,24.96,4.89,1.21,0.1,0.07,,-0.1,-0.01,Tournament,2020,,,,,,
1071,w.wandera,Nkasland Cronestan,0,1,0,0,29,1992,0.37,-0.01,3.24,-0.09,-0.09,3.25,-0.06,-0.1,,,0.03,0.03,Tournament,2020,,,,,,
1072,x.amuge,Nkasland Cronestan,0,1,0,0,29,1992,2.39,-0.1,0.93,0.06,0.06,0.87,0.06,-0.02,,,0.06,0.04,Tournament,2020,,,,,,
1073,x.nyombi,Nkasland Cronestan,0,1,0,0,31,1990,4.59,-0.08,0.44,0.02,-0.02,0.36,0.08,0.1,,,-0.1,-0.02,Tournament,2020,,,,,,
1074,y.almutairi,Nkasland Cronestan,0,1,0,0,26,1995,2.27,0.48,2.79,0.89,33.24,2.64,0.83,0.2,0.58,,-0.06,0.05,Tournament,2020,,,,,,
1075,f.frimpong,Pahon,0,0,1,0,27,1994,3.83,-0.04,0.49,0.01,0.01,0.52,-0.07,-0.04,,,-0.09,0.09,Tournament,2020,,,,,,
1076,h.nakagolo,Pahon,0,0,1,0,30,1991,2.99,0.04,0.24,0.41,100.08,0.35,0.41,-0.03,0.02,,-0.06,0.05,Tournament,2020,,,,,,
1077,k.ndlovu,Pahon,0,0,1,0,31,1990,1.05,-0.04,0.94,-0.04,0.09,0.97,0.08,0.03,,,-0.02,0.06,Tournament,2020,,,,,,
1078,k.supriadi,Pahon,0,0,1,0,29,1992,3.98,0.02,0.23,0.04,-0.02,0.23,0.04,0.04,,,0.08,0.0,Tournament,2020,,,,,,
1079,p.rukundo,Pahon,0,0,1,0,27,1994,4.93,-0.07,-0.02,0.1,,-0.03,-0.06,,,,0.1,0.04,Tournament,2020,,,,,,
1080,t.odyek,Pahon,0,0,1,0,28,1993,1.13,-0.02,0.09,-0.01,,0.07,0.08,,,,0.02,-0.03,Tournament,2020,,,,,,
1081,u.mclaughlin,Pahon,0,0,1,0,34,1987,3.08,-0.05,0.34,0.08,-0.02,0.34,0.0,-0.1,,,-0.02,-0.06,Tournament,2020,,,,,,
1082,u.zupani,Pahon,0,0,1,0,29,1992,3.25,-0.03,0.04,0.0,,0.0,-0.05,,,,0.02,0.0,Tournament,2020,,,,,,
1083,l.polishchuk,Pahon,1,0,0,0,27,1994,2.89,0.01,1.31,0.68,50.07,1.37,0.66,0.07,0.08,,0.06,0.01,Tournament,2020,,,,,,
1084,o.binothman,Pahon,1,0,0,0,29,1992,1.32,0.68,4.21,2.05,49.96,4.17,2.17,0.11,0.24,,0.09,0.06,Tournament,2020,,,,,,
1085,p.damico,Pahon,1,0,0,0,33,1988,1.18,0.8,3.32,0.73,24.99,3.39,0.88,0.01,0.05,,0.85,0.82,Tournament,2020,,,,,,
1086,f.monday,Pahon,1,1,0,0,32,1989,4.73,0.93,4.7,1.74,36.31,4.63,1.62,0.16,0.55,,0.04,0.01,Tournament,2020,,,,,,
1087,k.klc,Pahon,1,1,0,0,27,1994,0.22,-0.07,-0.02,-0.09,,0.05,0.06,,,,-0.1,-0.08,Tournament,2020,,,,,,
1088,b.kaunda,Pahon,0,0,0,1,34,1987,6.07,-0.01,0.02,0.0,,-0.08,0.06,,,,-0.06,0.08,Tournament,2020,,,,,,
1089,c.kato,Pahon,0,1,0,0,27,1994,0.59,-0.06,0.08,-0.06,,0.07,0.07,,,,0.06,0.09,Tournament,2020,,,,,,
1090,e.audu,Pahon,0,1,0,0,27,1993,0.2,-0.03,0.07,-0.03,,-0.06,0.06,,,,-0.09,0.03,Tournament,2020,,,,,,
1091,e.turk,Pahon,0,1,0,0,29,1991,2.05,-0.04,0.57,0.07,0.01,0.46,-0.08,0.04,,,-0.03,0.02,Tournament,2020,,,,,,
1092,h.biribawa,Pahon,0,1,0,0,25,1995,3.74,0.45,1.12,1.04,100.05,1.15,1.14,0.46,0.6,,0.03,-0.04,Tournament,2020,,,,,,
1093,m.hodzi,Pahon,0,1,0,0,31,1990,1.71,1.25,2.36,1.13,50.09,2.32,1.12,0.52,1.08,,0.1,0.01,Tournament,2020,,,,,,
1094,p.hendriks,Pahon,0,1,0,0,22,1999,5.91,0.03,1.03,0.21,16.8,1.03,0.15,0.09,-0.05,,-0.03,0.02,Tournament,2020,,,,,,
1095,p.oneill,Pahon,0,1,0,0,26,1995,0.36,0.01,0.1,0.06,,-0.06,0.0,,,,-0.02,0.1,Tournament,2020,,,,,,
1096,s.magnusson,Pahon,0,1,0,0,29,1992,0.15,-0.05,-0.06,0.0,,-0.05,0.09,,,,0.01,0.02,Tournament,2020,,,,,,
1097,u.nanyunja,Pahon,0,1,0,0,28,1993,3.74,-0.1,0.54,0.34,49.97,0.48,0.21,-0.05,-0.03,,0.02,0.06,Tournament,2020,,,,,,
1098,v.fernandez,Pahon,0,1,0,0,29,1991,3.7,0.02,0.77,0.34,33.23,0.74,0.28,0.06,-0.02,,-0.04,-0.02,Tournament,2020,,,,,,
1099,y.kazemi,Pahon,0,1,0,0,26,1995,3.19,0.03,1.06,0.33,33.23,0.87,0.24,0.04,0.08,,-0.05,-0.08,Tournament,2020,,,,,,
1100,d.nishimura,People's Land of Maneau,0,0,1,0,27,1994,5.06,-0.05,1.08,0.37,39.97,0.95,0.4,0.08,0.04,,-0.06,0.08,Tournament,2020,,,,,,
1101,k.mirkovi,People's Land of Maneau,0,0,1,0,28,1993,1.86,0.04,0.08,-0.02,,0.1,0.02,,,,0.09,0.07,Tournament,2020,,,,,,
1102,o.atim,People's Land of Maneau,0,0,1,0,31,1990,4.45,0.08,0.63,-0.03,0.01,0.76,-0.06,0.07,,,-0.06,0.09,Tournament,2020,,,,,,
1103,t.chebet,People's Land of Maneau,0,0,1,0,24,1997,2.08,0.0,-0.06,-0.06,,0.06,0.02,,,,0.0,0.09,Tournament,2020,,,,,,
1104,u.wright,People's Land of Maneau,0,0,1,0,28,1993,2.33,-0.09,1.28,0.35,33.32,1.27,0.53,-0.07,0.01,,0.05,-0.09,Tournament,2020,,,,,,
1105,v.thompson,People's Land of Maneau,0,0,1,0,21,1999,1.13,0.06,1.82,1.88,100.02,1.69,1.85,0.07,-0.06,,-0.01,-0.04,Tournament,2020,,,,,,
1106,z.nakagawa,People's Land of Maneau,0,0,1,0,24,1997,0.51,0.02,-0.02,-0.07,,-0.02,0.05,,,,-0.09,0.1,Tournament,2020,,,,,,
1107,n.ono,People's Land of Maneau,1,0,0,0,24,1997,1.13,-0.05,4.25,0.78,19.92,4.35,0.92,0.07,0.01,,0.09,-0.05,Tournament,2020,,,,,,
1108,t.acom,People's Land of Maneau,1,0,0,0,29,1992,0.39,0.09,0.07,-0.07,,-0.04,0.07,,,,0.04,-0.05,Tournament,2020,,,,,,
1109,t.aguti,People's Land of Maneau,1,0,0,0,26,1994,1.98,0.4,1.93,1.55,74.97,2.01,1.6,-0.07,0.06,,0.49,0.52,Tournament,2020,,,,,,
1110,z.bintizakaria,People's Land of Maneau,1,0,0,0,28,1993,5.08,0.01,4.73,1.01,20.71,4.84,1.08,-0.05,-0.08,,-0.02,0.06,Tournament,2020,,,,,,
1111,z.makore,People's Land of Maneau,1,0,0,0,24,1997,0.24,-0.04,4.92,-0.01,0.06,6.1,-0.08,0.03,,,0.04,0.01,Tournament,2020,,,,,,
1112,z.nabaweesi,People's Land of Maneau,1,1,0,0,20,2001,0.16,0.09,0.02,0.01,,-0.09,-0.06,,,,0.07,0.03,Tournament,2020,,,,,,
1113,x.neri,People's Land of Maneau,0,0,0,1,27,1994,5.9,0.04,0.08,0.07,,0.03,0.09,,,,0.01,0.06,Tournament,2020,,,,,,
1114,a.avako,People's Land of Maneau,0,1,0,0,27,1994,1.03,0.0,0.08,-0.01,,-0.03,-0.06,,,,0.08,0.05,Tournament,2020,,,,,,
1115,c.saad,People's Land of Maneau,0,1,0,0,25,1995,2.09,-0.1,-0.08,0.05,,0.02,-0.09,,,,-0.06,-0.09,Tournament,2020,,,,,,
1116,f.kalule,People's Land of Maneau,0,1,0,0,24,1996,0.32,0.06,-0.04,0.07,,0.06,0.04,,,,-0.08,0.03,Tournament,2020,,,,,,
1117,g.dijkstra,People's Land of Maneau,0,1,0,0,20,2001,1.64,0.05,3.21,1.32,39.92,3.2,1.26,-0.08,-0.01,,0.02,-0.06,Tournament,2020,,,,,,
1118,h.twongirwe,People's Land of Maneau,0,1,0,0,31,1990,1.42,-0.1,-0.08,0.07,,-0.07,-0.08,,,,-0.07,-0.04,Tournament,2020,,,,,,
1119,i.nayak,People's Land of Maneau,0,1,0,0,25,1996,0.85,-0.08,0.08,0.01,,0.09,-0.02,,,,-0.01,0.01,Tournament,2020,,,,,,
1120,j.singini,People's Land of Maneau,0,1,0,0,21,2000,1.79,1.24,2.88,2.27,80.04,2.9,2.27,0.47,0.45,,0.08,-0.03,Tournament,2020,,,,,,
1121,o.nampeera,People's Land of Maneau,0,1,0,0,22,1999,3.55,0.61,2.13,0.78,37.59,2.33,0.81,0.26,0.61,,-0.05,-0.02,Tournament,2020,,,,,,
1122,a.kamusiime,People's Land of Maneau,0,1,1,0,31,1990,4.74,-0.02,0.22,-0.03,0.03,0.3,-0.09,-0.09,,,-0.1,-0.05,Tournament,2020,,,,,,
1123,d.bergmann,People's Land of Maneau,0,1,1,0,28,1993,2.08,0.0,0.51,0.49,99.97,0.41,0.57,0.06,-0.07,,0.02,-0.08,Tournament,2020,,,,,,
1124,i.iddrisu,People's Land of Maneau,0,1,1,0,22,1999,5.87,0.12,1.1,0.26,16.66,1.04,0.1,0.27,1.09,,0.09,-0.01,Tournament,2020,,,,,,
1125,z.rojas,People's Land of Maneau,0,1,1,0,23,1998,1.92,0.04,0.58,-0.03,0.08,0.43,-0.07,-0.05,,,-0.05,-0.09,Tournament,2020,,,,,,
1126,k.namuwaya,People's Land of Maneau,1,1,0,0,26,1995,2.06,-0.06,1.97,-0.09,-0.09,2.01,-0.06,0.07,,,-0.05,0.05,Tournament,2020,,,,,,
1127,l.malinga,People's Land of Maneau,1,1,0,0,21,2000,2.04,0.04,0.38,-0.06,-0.09,0.39,0.08,-0.03,,,0.03,-0.03,Tournament,2020,,,,,,
1128,t.ichikawa,People's Land of Maneau,1,1,0,0,24,1997,1.87,0.63,2.68,1.18,40.09,2.73,1.21,0.08,0.01,,0.61,0.51,Tournament,2020,,,,,,
1129,f.hadi,Prometricia,0,0,1,0,29,1992,1.71,-0.05,0.57,0.04,-0.01,0.66,0.01,-0.1,,,0.05,0.1,Tournament,2020,,,,,,
1130,g.shinde,Prometricia,0,0,1,0,30,1991,1.19,0.03,0.9,0.03,0.06,0.92,0.1,-0.06,,,0.05,0.06,Tournament,2020,,,,,,
1131,w.tindimwebwa,Prometricia,0,0,1,0,30,1990,2.0,0.08,-0.02,-0.02,,0.01,-0.06,,,,0.09,0.07,Tournament,2020,,,,,,
1132,z.ojo,Prometricia,0,0,1,0,24,1997,2.47,0.08,0.84,0.87,99.92,0.72,0.77,-0.03,-0.1,,0.03,-0.02,Tournament,2020,,,,,,
1133,c.bintimohamed,Prometricia,1,0,1,0,24,1997,3.56,0.07,0.49,0.37,50.03,0.64,0.19,-0.05,-0.06,,-0.03,0.02,Tournament,2020,,,,,,
1134,o.turk,Prometricia,0,1,1,0,27,1994,4.07,-0.09,0.77,0.52,66.75,0.72,0.54,0.01,-0.01,,0.02,-0.05,Tournament,2020,,,,,,
1135,a.gomes,Prometricia,1,0,0,0,29,1992,0.73,0.07,1.43,0.0,0.08,1.4,0.05,0.06,,,0.1,0.03,Tournament,2020,,,,,,
1136,h.munthali,Prometricia,1,0,0,0,25,1996,0.16,-0.05,4.95,-0.01,0.0,4.69,-0.05,0.04,,,-0.09,0.01,Tournament,2020,,,,,,
1137,l.martin,Prometricia,1,0,0,0,20,2001,1.61,0.69,0.6,0.51,100.06,0.58,0.6,1.05,1.09,,0.06,-0.06,Tournament,2020,,,,,,
1138,a.chui,Prometricia,0,0,0,1,32,1989,3.07,-0.05,-0.05,-0.08,,-0.01,0.01,,,,0.07,-0.05,Tournament,2020,,,,,,
1139,q.issah,Prometricia,0,0,0,1,28,1993,0.91,-0.08,0.07,0.08,,0.01,0.07,,,,-0.09,0.06,Tournament,2020,,,,,,
1140,a.nakisige,Prometricia,0,1,0,0,25,1996,2.59,0.02,1.12,-0.08,-0.02,1.29,-0.02,-0.1,,,-0.09,0.0,Tournament,2020,,,,,,
1141,b.mwima,Prometricia,0,1,0,0,20,2000,1.78,-0.09,1.69,1.23,66.77,1.74,1.18,-0.01,0.07,,0.06,-0.04,Tournament,2020,,,,,,
1142,b.wallner,Prometricia,0,1,0,0,30,1991,1.08,0.06,-0.05,0.01,,-0.01,0.08,,,,-0.1,0.01,Tournament,2020,,,,,,
1143,i.dupont,Prometricia,0,1,0,0,27,1994,1.77,-0.03,0.0,-0.07,,0.08,-0.05,,,,0.08,-0.01,Tournament,2020,,,,,,
1144,o.johnson,Prometricia,0,1,0,0,25,1996,0.82,-0.02,1.09,-0.01,-0.02,1.16,0.0,-0.07,,,0.06,-0.08,Tournament,2020,,,,,,
1145,o.shafiee,Prometricia,0,1,0,0,30,1991,3.91,0.31,2.55,1.02,39.99,2.57,0.91,0.12,0.17,,0.07,0.05,Tournament,2020,,,,,,
1146,s.gaby,Prometricia,0,1,0,0,23,1998,0.86,-0.02,-0.05,-0.05,,-0.06,0.01,,,,-0.05,0.04,Tournament,2020,,,,,,
1147,y.gao,Prometricia,0,1,0,0,23,1998,1.9,0.54,2.03,0.5,25.03,2.11,0.59,0.16,1.05,,0.0,-0.1,Tournament,2020,,,,,,
1148,e.sugiyama,Prometricia,0,1,1,0,32,1989,2.93,-0.1,0.93,0.25,33.32,0.96,0.25,-0.06,-0.03,,-0.01,0.08,Tournament,2020,,,,,,
1149,l.kamiski,Prometricia,0,1,1,0,34,1987,1.87,-0.01,1.03,0.02,0.07,0.99,0.07,0.05,,,-0.04,-0.03,Tournament,2020,,,,,,
1150,g.marchetti,Prometricia,1,1,0,0,25,1996,2.93,-0.06,2.66,-0.07,0.01,2.71,0.06,0.06,,,0.05,-0.07,Tournament,2020,,,,,,
1151,c.palmieri,Quewenia,0,0,1,0,19,2002,0.09,-0.01,-0.02,0.03,,0.09,-0.03,,,,0.07,0.08,Tournament,2020,,,,,,
1152,h.arthur,Quewenia,0,0,1,0,25,1996,4.97,-0.03,0.14,0.06,-0.08,0.28,-0.01,0.06,,,-0.05,-0.04,Tournament,2020,,,,,,
1153,k.oloya,Quewenia,0,0,1,0,29,1992,1.95,-0.03,0.95,0.43,49.91,0.93,0.46,-0.09,-0.03,,0.05,0.07,Tournament,2020,,,,,,
1154,l.kule,Quewenia,0,0,1,0,28,1993,2.92,0.41,1.38,0.74,49.96,1.32,0.67,0.35,0.43,,0.04,-0.06,Tournament,2020,,,,,,
1155,m.nabukwasi,Quewenia,0,0,1,0,29,1991,1.97,0.1,-0.03,0.0,,-0.01,-0.05,,,,-0.08,-0.07,Tournament,2020,,,,,,
1156,q.yadav,Quewenia,0,0,1,0,26,1995,2.91,0.1,0.38,0.09,0.0,0.36,0.02,0.04,,,-0.03,-0.03,Tournament,2020,,,,,,
1157,t.candia,Quewenia,0,0,1,0,29,1992,4.68,0.06,0.51,0.21,49.95,0.49,0.23,-0.04,-0.07,,-0.06,-0.07,Tournament,2020,,,,,,
1158,v.athieno,Quewenia,0,0,1,0,25,1996,1.23,-0.05,-0.08,0.04,,0.0,-0.04,,,,-0.03,-0.07,Tournament,2020,,,,,,
1159,w.okeke,Quewenia,0,0,1,0,26,1995,0.98,0.01,-0.04,0.06,,-0.09,0.02,,,,-0.01,0.05,Tournament,2020,,,,,,
1160,g.were,Quewenia,1,0,0,0,29,1992,4.99,0.25,2.94,0.73,28.52,2.79,0.87,0.09,0.24,,0.07,-0.05,Tournament,2020,,,,,,
1161,h.kurnia,Quewenia,1,0,0,0,31,1989,0.87,2.28,4.37,3.23,74.95,4.58,3.44,0.49,0.7,,0.05,-0.04,Tournament,2020,,,,,,
1162,u.pichler,Quewenia,1,0,0,0,24,1997,0.12,-0.06,-0.08,-0.05,,-0.01,-0.02,,,,-0.07,-0.01,Tournament,2020,,,,,,
1163,z.uy,Quewenia,1,0,0,0,30,1991,0.71,0.06,2.46,1.18,50.09,2.46,1.25,-0.05,-0.04,,-0.08,-0.09,Tournament,2020,,,,,,
1164,m.nakano,Quewenia,1,1,0,0,24,1996,0.01,-0.03,-0.08,0.0,,0.06,0.01,,,,-0.01,-0.08,Tournament,2020,,,,,,
1165,r.yiga,Quewenia,0,0,0,1,32,1988,4.98,-0.01,0.09,0.08,,0.01,-0.02,,,,0.08,-0.07,Tournament,2020,,,,,,
1166,g.odoch,Quewenia,0,1,0,0,23,1998,1.39,-0.1,2.09,0.0,0.03,2.3,0.1,-0.07,,,0.03,0.07,Tournament,2020,,,,,,
1167,h.adjei,Quewenia,0,1,0,0,29,1992,2.81,0.75,0.69,0.61,100.03,0.65,0.75,1.07,0.98,,-0.05,-0.09,Tournament,2020,,,,,,
1168,k.abalo,Quewenia,0,1,0,0,29,1992,4.91,0.07,1.16,0.65,50.07,1.25,0.51,-0.09,0.02,,0.04,0.01,Tournament,2020,,,,,,
1169,m.mathieu,Quewenia,0,1,0,0,24,1997,2.78,-0.03,0.66,0.05,-0.02,0.71,0.08,-0.06,,,-0.01,0.03,Tournament,2020,,,,,,
1170,q.addo,Quewenia,0,1,0,0,30,1991,1.78,0.07,1.11,1.21,100.07,1.09,1.21,-0.01,-0.06,,0.09,0.05,Tournament,2020,,,,,,
1171,q.nakityo,Quewenia,0,1,0,0,30,1991,1.85,-0.08,1.59,1.0,66.62,1.55,1.03,-0.07,0.03,,0.06,-0.05,Tournament,2020,,,,,,
1172,q.ow,Quewenia,0,1,0,0,24,1997,2.81,0.05,0.77,-0.02,-0.1,0.67,0.01,0.04,,,-0.04,0.07,Tournament,2020,,,,,,
1173,w.rudenko,Quewenia,0,1,0,0,24,1997,0.12,0.02,5.02,0.05,0.08,4.6,0.09,0.06,,,-0.02,-0.05,Tournament,2020,,,,,,
1174,j.anguko,Quewenia,0,1,1,0,30,1991,2.45,0.04,0.74,0.44,50.02,0.85,0.31,-0.09,-0.08,,0.06,-0.05,Tournament,2020,,,,,,
1175,a.zimmermann,Redohrainbri,0,0,1,0,29,1992,0.92,0.07,2.07,0.03,0.05,1.95,-0.09,0.07,,,-0.05,0.08,Tournament,2020,,,,,,
1176,c.birungi,Redohrainbri,0,0,1,0,24,1997,1.07,0.02,-0.03,0.04,,0.03,-0.04,,,,-0.06,-0.05,Tournament,2020,,,,,,
1177,c.vandenberg,Redohrainbri,0,0,1,0,23,1997,0.81,0.04,-0.08,0.03,,0.06,0.07,,,,-0.07,-0.05,Tournament,2020,,,,,,
1178,c.whang,Redohrainbri,0,0,1,0,31,1990,2.01,-0.03,0.57,0.04,-0.07,0.41,-0.05,-0.08,,,0.06,0.04,Tournament,2020,,,,,,
1179,d.anyango,Redohrainbri,0,0,1,0,26,1994,2.14,0.04,1.0,0.01,-0.04,0.91,-0.04,-0.06,,,0.09,0.09,Tournament,2020,,,,,,
1180,d.owen,Redohrainbri,0,0,1,0,26,1995,0.13,-0.01,0.06,-0.07,,-0.04,0.03,,,,0.07,0.03,Tournament,2020,,,,,,
1181,f.night,Redohrainbri,0,0,1,0,23,1998,3.94,-0.04,0.03,0.03,,-0.06,0.09,,,,0.01,-0.06,Tournament,2020,,,,,,
1182,h.aleper,Redohrainbri,0,0,1,0,35,1986,1.1,-0.06,0.96,0.06,0.06,1.09,0.01,0.1,,,-0.1,-0.01,Tournament,2020,,,,,,
1183,j.quinn,Redohrainbri,0,0,1,0,32,1989,1.08,-0.03,0.07,-0.05,,-0.05,-0.08,,,,-0.01,0.04,Tournament,2020,,,,,,
1184,m.namale,Redohrainbri,0,0,1,0,30,1991,1.78,0.03,-0.07,0.01,,-0.05,-0.08,,,,0.05,0.05,Tournament,2020,,,,,,
1185,x.ji,Redohrainbri,0,0,1,0,30,1991,0.92,-0.09,0.99,1.01,99.96,1.04,0.97,0.07,-0.02,,0.07,0.01,Tournament,2020,,,,,,
1186,z.laine,Redohrainbri,0,0,1,0,29,1991,3.62,-0.06,0.27,-0.05,0.04,0.33,-0.04,-0.01,,,0.1,0.09,Tournament,2020,,,,,,
1187,j.suryani,Redohrainbri,1,0,1,0,22,1999,0.03,-0.09,0.04,-0.05,,0.04,-0.01,,,,-0.05,0.06,Tournament,2020,,,,,,
1188,h.xu,Redohrainbri,0,1,1,0,30,1991,0.7,0.04,1.51,1.53,100.07,1.29,1.39,0.06,-0.06,,-0.05,-0.05,Tournament,2020,,,,,,
1189,k.heikkinen,Redohrainbri,0,1,1,0,27,1994,0.08,-0.04,-0.03,-0.09,,-0.09,0.0,,,,0.08,0.07,Tournament,2020,,,,,,
1190,w.nassuna,Redohrainbri,0,1,1,0,28,1993,0.38,0.01,0.05,-0.09,,-0.1,0.09,,,,-0.07,-0.03,Tournament,2020,,,,,,
1191,i.mlambo,Redohrainbri,1,0,0,0,29,1992,1.74,-0.04,0.48,0.5,100.0,0.66,0.53,-0.08,-0.02,,0.09,0.1,Tournament,2020,,,,,,
1192,q.oren,Redohrainbri,1,0,0,0,25,1995,2.62,1.1,4.53,2.3,49.93,4.6,2.29,0.34,0.45,,-0.08,0.03,Tournament,2020,,,,,,
1193,r.kadosh,Redohrainbri,1,0,0,0,27,1994,0.92,-0.04,1.05,-0.01,0.04,0.99,-0.02,0.08,,,0.06,0.04,Tournament,2020,,,,,,
1194,w.bintiabdullah,Redohrainbri,1,0,0,0,21,2000,0.82,0.1,3.37,2.23,66.6,3.17,2.06,-0.07,-0.08,,0.04,-0.02,Tournament,2020,,,,,,
1195,f.yan,Redohrainbri,1,1,0,0,21,2000,3.81,1.48,3.71,2.88,78.61,3.7,2.78,0.34,0.58,,-0.05,-0.03,Tournament,2020,,,,,,
1196,v.atto,Redohrainbri,1,1,0,0,21,2000,0.12,0.03,0.06,0.09,,-0.03,-0.06,,,,-0.02,-0.09,Tournament,2020,,,,,,
1197,h.duval,Redohrainbri,0,0,0,1,31,1989,0.93,0.03,-0.06,-0.06,,-0.07,-0.05,,,,-0.07,0.07,Tournament,2020,,,,,,
1198,p.namulinda,Redohrainbri,0,0,0,1,25,1996,0.99,-0.05,-0.04,-0.07,,-0.05,0.09,,,,0.09,0.06,Tournament,2020,,,,,,
1199,p.wan,Redohrainbri,0,0,0,1,37,1984,2.9,-0.02,0.03,-0.05,,0.06,0.03,,,,-0.06,0.1,Tournament,2020,,,,,,
1200,b.zagar,Redohrainbri,0,1,0,0,26,1995,0.66,0.02,1.37,0.03,0.0,1.36,-0.02,-0.03,,,0.06,0.07,Tournament,2020,,,,,,
1201,d.sargsyan,Redohrainbri,0,1,0,0,30,1991,1.6,-0.03,0.08,-0.07,,0.01,0.07,,,,-0.01,-0.01,Tournament,2020,,,,,,
1202,e.fiore,Redohrainbri,0,1,0,0,20,2001,0.12,0.01,0.06,0.01,,0.05,0.03,,,,-0.07,0.0,Tournament,2020,,,,,,
1203,h.david,Redohrainbri,0,1,0,0,22,1998,1.55,0.04,0.62,0.66,99.97,0.61,0.54,0.02,0.04,,0.03,0.07,Tournament,2020,,,,,,
1204,h.susanto,Redohrainbri,0,1,0,0,23,1998,3.04,0.02,1.42,0.08,0.05,1.33,0.01,-0.01,,,-0.07,-0.03,Tournament,2020,,,,,,
1205,i.ebong,Redohrainbri,0,1,0,0,22,1999,0.36,0.03,-0.01,-0.02,,-0.04,-0.07,,,,-0.05,0.06,Tournament,2020,,,,,,
1206,i.kolar,Redohrainbri,0,1,0,0,25,1996,0.69,0.08,0.02,-0.02,,0.03,-0.03,,,,-0.02,0.04,Tournament,2020,,,,,,
1207,i.zarei,Redohrainbri,0,1,0,0,25,1996,3.52,-0.1,1.23,0.21,25.02,1.17,0.34,0.1,0.09,,-0.03,0.05,Tournament,2020,,,,,,
1208,o.giuliani,Redohrainbri,0,1,0,0,26,1995,0.98,0.03,0.04,0.06,,0.03,0.09,,,,-0.03,0.04,Tournament,2020,,,,,,
1209,o.mugwagwa,Redohrainbri,0,1,0,0,27,1994,1.0,1.08,1.09,1.14,99.93,1.17,1.15,0.91,0.92,,0.01,0.03,Tournament,2020,,,,,,
1210,q.katende,Redohrainbri,0,1,0,0,29,1992,0.95,-0.02,-0.08,0.08,,-0.07,-0.07,,,,-0.05,0.05,Tournament,2020,,,,,,
1211,r.binomar,Redohrainbri,0,1,0,0,29,1992,1.23,0.09,-0.05,0.09,,0.04,0.06,,,,-0.04,-0.04,Tournament,2020,,,,,,
1212,t.abe,Redohrainbri,0,1,0,0,28,1993,0.55,0.08,0.04,-0.06,,-0.06,0.0,,,,-0.08,0.06,Tournament,2020,,,,,,
1213,z.aryemo,Redohrainbri,0,1,0,0,27,1994,2.87,0.31,2.39,1.43,57.15,2.47,1.34,0.1,0.3,,-0.08,-0.05,Tournament,2020,,,,,,
1214,h.francisco,Rosvi,0,0,1,0,35,1985,1.87,0.08,3.33,1.09,33.37,3.19,1.09,-0.08,0.1,,0.07,-0.02,Tournament,2020,,,,,,
1215,i.gashi,Rosvi,0,0,1,0,29,1991,1.07,0.05,0.01,-0.09,,0.09,-0.05,,,,0.07,0.01,Tournament,2020,,,,,,
